video_id,song_name,artist_name,views,likes,comments,chart_position,collection_date
"yt_unknown_saiyaara_full_song_|_ek_tha_tiger_|_salman_khan,_katrina_kaif_|_mohit_chauhan,_tarannum,_","Saiyaara Full Song | Ek Tha Tiger | Salman Khan, Katrina Kaif | Mohit Chauhan, Tarannum, Sohail Sen",Unknown,622416,0,0,138,2025-12-08
"yt_ryan_castro_""richy""_&_sog_mi_fortuna_(video_oficial)",MI FORTUNA (Video Oficial),"Ryan Castro ""Richy"" & SOG",622235,0,0,139,2025-12-08
yt_unknown_passenger_|_let_her_go_(official_video),Passenger | Let Her Go (Official Video),Unknown,621077,0,0,140,2025-12-08
yt_unknown_💕🧃_yogurcito_remix_|_blessd_❌_anuel_aa_❌_yan_block_❌_luar_la_l_❌_roa__❌_kris_r,💕🧃 YOGURCITO REMIX | BLESSD ❌ ANUEL AA ❌ YAN BLOCK ❌ LUAR LA L ❌ ROA  ❌ KRIS R,Unknown,619676,0,0,141,2025-12-08
"yt_mari_fernandez,_@eogrelo,_@natanzinholimaoficial_saudade_do_carai",SAUDADE DO CARAI,"Mari Fernandez, @Eogrelo, @NatanzinhoLimaOficial",619671,0,0,142,2025-12-08
yt_coolio_gangsta's_paradise_(feat._l.v.)_[official_music_video],Gangsta's Paradise (feat. L.V.) [Official Music Video],Coolio,610878,0,0,143,2025-12-08
"yt_unknown_lyrical:_tum_hi_aana_|_marjaavaan_|_riteish_d,_sidharth_m,_tara_s_|jubin_nautiyal,payal_d","Lyrical: Tum Hi Aana | Marjaavaan | Riteish D, Sidharth M, Tara S |Jubin Nautiyal,Payal Dev,Kunaal V",Unknown,607297,0,0,144,2025-12-08
yt_jorge_&_mateus_sol_nos_olhos_(clipe_oficial),Sol Nos Olhos (Clipe Oficial),Jorge & Mateus,606381,0,0,145,2025-12-08
"yt_unknown_payal_ki_khanak_|_official_video_|_hindi_new_song_|_anil_rawat,kajal_|_mohit,anshu_|_bhai","Payal Ki Khanak | Official Video | Hindi New Song | Anil Rawat,Kajal | Mohit,Anshu | Bhaigiri Music",Unknown,605095,0,0,146,2025-12-08
"yt_rema,_selena_gomez_calm_down_(official_music_video)",Calm Down (Official Music Video),"Rema, Selena Gomez",604819,0,0,147,2025-12-08
"yt_unknown_""free""_|_official_lyric_video_|_sony_animation","""Free"" | Official Lyric Video | Sony Animation",Unknown,599272,0,0,148,2025-12-08
yt_karol_g_ivonny_bonita_(official_video),Ivonny Bonita (Official Video),KAROL G,597690,0,0,149,2025-12-08
yt_unknown_nadie-_tito_double_p_(video_oficial),Nadie- Tito Double P (Video Oficial),Unknown,592789,0,0,150,2025-12-08
yt_mary_j._blige_family_affair_(official_music_video),Family Affair (Official Music Video),Mary J. Blige,591343,0,0,151,2025-12-08
"yt_floyymenor,_cris_mj_gata_only",Gata Only,"FloyyMenor, Cris MJ",590395,0,0,152,2025-12-08
yt_cantajuego_soy_una_taza_(version_mexico),Soy Una Taza (Version Mexico),CantaJuego,587879,0,0,153,2025-12-08
yt_mark_ronson_uptown_funk_(official_video)_ft._bruno_mars,Uptown Funk (Official Video) ft. Bruno Mars,Mark Ronson,584161,0,0,154,2025-12-08
yt_beéle_quédate_(performance/lyrics),quédate (Performance/Lyrics),Beéle,579399,0,0,155,2025-12-08
yt_the_gummy_bear_song_long_english_version,Long English Version,The Gummy Bear Song,576917,0,0,156,2025-12-08
yt_justin_bieber_mistletoe_(official_music_video),Mistletoe (Official Music Video),Justin Bieber,570228,0,0,157,2025-12-08
yt_becky_g_por_el_contrario_with_leonardo_aguilar_&_ángela_aguilar_(performance_video),POR EL CONTRARIO with Leonardo Aguilar & Ángela Aguilar (Performance Video),Becky G,567269,0,0,158,2025-12-08
yt_unknown_die_with_a_smile,Die With A Smile,Unknown,565799,0,0,159,2025-12-08
