song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,17815,0,1,2025-04-18
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,15799,0,2,2025-04-18
am_alex_warren_ordinary,Ordinary,Alex Warren,13326,0,3,2025-04-18
am_doechii_anxiety,Anxiety,Doechii,12808,0,4,2025-04-18
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,12338,0,5,2025-04-18
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,11400,0,6,2025-04-18
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,11194,0,7,2025-04-18
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,10698,0,8,2025-04-18
am_lady_gaga_abracadabra,Abracadabra,Lady Gaga,10560,0,9,2025-04-18
am_lola_young_messy,Messy,Lola Young,10301,0,10,2025-04-18
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,9789,0,11,2025-04-18
am_drake_nokia,NOKIA,Drake,9145,0,12,2025-04-18
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,8735,0,13,2025-04-18
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,8562,0,14,2025-04-18
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,8460,0,15,2025-04-18
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,7683,0,16,2025-04-18
am_ed_sheeran_azizam,Azizam,Ed Sheeran,7018,0,17,2025-04-18
am_teddy_swims_lose_control,Lose Control,Teddy Swims,6877,0,18,2025-04-18
am_jennie_like_jennie,like JENNIE,JENNIE,6865,0,19,2025-04-18
am_chappell_roan_pink_pony_club,Pink Pony Club,Chappell Roan,6591,0,20,2025-04-18
am_bad_bunny_dtmf,DtMF,Bad Bunny,6308,0,21,2025-04-18
am_wizthemc_&_bees_&_honey_show_me_love,Show Me Love,WizTheMc & bees & honey,6228,0,22,2025-04-18
am_tate_mcrae_sports_car,Sports car,Tate McRae,6224,0,23,2025-04-18
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,6211,0,24,2025-04-18
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,5908,0,25,2025-04-18
am_ariana_grande_twilight_zone,twilight zone,Ariana Grande,5080,0,26,2025-04-18
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,4929,0,27,2025-04-18
am_the_weeknd_cry_for_me,Cry For Me,The Weeknd,4473,0,28,2025-04-18
am_tate_mcrae_revolving_door,Revolving door,Tate McRae,4429,0,29,2025-04-18
am_hozier_too_sweet,Too Sweet,Hozier,4255,0,30,2025-04-18
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,4210,0,31,2025-04-18
am_myles_smith_stargazing,Stargazing,Myles Smith,4078,0,32,2025-04-18
am_coldplay_viva_la_vida,Viva La Vida,Coldplay,3939,0,33,2025-04-18
am_chrystal_&_notion_the_days,The Days,CHRYSTAL & NOTION,3901,0,34,2025-04-18
am_gigi_perez_sailor_song,Sailor Song,Gigi Perez,3603,0,35,2025-04-18
am_sza_30_for_30,30 For 30,SZA,3520,0,36,2025-04-18
am_bad_bunny_baile_inolvidable,BAILE INoLVIDABLE,Bad Bunny,3407,0,37,2025-04-18
am_billie_eilish_chihiro,CHIHIRO,Billie Eilish,3332,0,38,2025-04-18
am_aespa_whiplash,Whiplash,aespa,3280,0,39,2025-04-18
am_morgan_wallen_i'm_the_problem,I'm The Problem,Morgan Wallen,3269,0,40,2025-04-18
am_morgan_wallen_just_in_case,Just In Case,Morgan Wallen,3128,0,41,2025-04-18
am_atlxs_passo_bem_solto,PASSO BEM SOLTO,ATLXS,3047,0,42,2025-04-18
am_sabrina_carpenter_please_please_please,Please Please Please,Sabrina Carpenter,2984,0,43,2025-04-18
am_jennie_&_dua_lipa_handlebars,Handlebars,JENNIE & Dua Lipa,2901,0,44,2025-04-18
am_ed_sheeran_shape_of_you,Shape of You,Ed Sheeran,2839,0,45,2025-04-18
am_ed_sheeran_perfect,Perfect,Ed Sheeran,2836,0,46,2025-04-18
am_jennie_&_doechii_extral,ExtraL,JENNIE & Doechii,2790,0,47,2025-04-18
am_fleetwood_mac_dreams,Dreams,Fleetwood Mac,2763,0,48,2025-04-18
"am_kendrick_lamar,_sza_all_the_stars",All The Stars,"Kendrick Lamar, SZA",2756,0,49,2025-04-18
am_karol_g_si_antes_te_hubiera_conocido,Si Antes Te Hubiera Conocido,KAROL G,2738,0,50,2025-04-18
am_myles_smith_nice_to_meet_you,Nice To Meet You,Myles Smith,2684,0,51,2025-04-18
am_kendrick_lamar_tv_off,tv off,Kendrick Lamar,2578,0,52,2025-04-18
am_sabrina_carpenter_busy_woman,Busy Woman,Sabrina Carpenter,2533,0,53,2025-04-18
am_gims_ninao,NINAO,GIMS,2507,0,54,2025-04-18
am_morgan_wallen_love_somebody,Love Somebody,Morgan Wallen,2459,0,55,2025-04-18
am_morgan_wallen_i'm_a_little_crazy,I'm A Little Crazy,Morgan Wallen,2453,0,56,2025-04-18
am_bigxthaplug_&_bailey_zimmerman_all_the_way,All The Way,BigXthaPlug & Bailey Zimmerman,2438,0,57,2025-04-18
am_benson_boone_sorry_i'm_here_for_someone_else,Sorry I'm Here For Someone Else,Benson Boone,2430,0,58,2025-04-18
am_bad_bunny_nuevayol,NUEVAYoL,Bad Bunny,2416,0,59,2025-04-18
am_coldplay_a_sky_full_of_stars,A Sky Full of Stars,Coldplay,2410,0,60,2025-04-18
am_the_killers_mr._brightside,Mr. Brightside,The Killers,2404,0,61,2025-04-18
am_dua_lipa_new_rules,New Rules,Dua Lipa,2400,0,62,2025-04-18
am_bad_bunny_voy_a_llevarte_pa_pr,VOY A LLeVARTE PA PR,Bad Bunny,2371,0,63,2025-04-18
am_sza_snooze,Snooze,SZA,2344,0,64,2025-04-18
"am_hugel,_topic_&_arash_i_adore_you",I Adore You,"HUGEL, Topic & Arash",2334,0,65,2025-04-18
am_taylor_swift_cruel_summer,Cruel Summer,Taylor Swift,2333,0,66,2025-04-18
am_dasha_austin,Austin,Dasha,2275,0,67,2025-04-18
am_partynextdoor_&_drake_somebody_loves_me,SOMEBODY LOVES ME,PARTYNEXTDOOR & Drake,2273,0,68,2025-04-18
am_sabrina_carpenter_bed_chem,Bed Chem,Sabrina Carpenter,2235,0,69,2025-04-18
am_noah_kahan_stick_season,Stick Season,Noah Kahan,2230,0,70,2025-04-18
am_the_goo_goo_dolls_iris,Iris,The Goo Goo Dolls,2223,0,71,2025-04-18
am_fuerza_regida_&_grupo_frontera_me_jalo,ME JALO,Fuerza Regida & Grupo Frontera,2212,0,72,2025-04-18
am_morgan_wallen_last_night,Last Night,Morgan Wallen,2193,0,73,2025-04-18
am_jennie_mantra,Mantra,JENNIE,2090,0,74,2025-04-18
am_bad_bunny_eoo,EoO,Bad Bunny,2054,0,75,2025-04-18
am_floyymenor_&_cris_mj_gata_only,Gata Only,floyymenor & Cris Mj,2027,0,76,2025-04-18
"am_w_sound,_beéle_&_ovy_on_the_drums_la_plena",La Plena,"W Sound, Beéle & Ovy On the Drums",2011,0,77,2025-04-18
am_zartmann_tau_mich_auf,tau mich auf,Zartmann,2003,0,78,2025-04-18
am_the_weeknd_blinding_lights,Blinding Lights,The Weeknd,2001,0,79,2025-04-18
"am_werenoi,_damso_&_ninho_triple_v",Triple V,"Werenoi, Damso & Ninho",1981,0,80,2025-04-18
am_nina_chuba_unsicher,Unsicher,Nina Chuba,1978,0,81,2025-04-18
am_linkin_park_the_emptiness_machine,The Emptiness Machine,LINKIN PARK,1974,0,82,2025-04-18
am_teddy_swims_the_door,The Door,Teddy Swims,1967,0,83,2025-04-18
"am_bonez_mc,_nate57,_achtvier,_ak_33,_ak_ausserkontrolle,_azad,_big_toe,_caney030,_celo_&_abdi,_crac",bissu dumm ¿,"Bonez MC, Nate57, AchtVier, AK 33, AK AUSSERKONTROLLE, Azad, Big Toe, CANEY030, Celo & Abdi, Crackaveli, Curse, Dardan, Die P, Eno, FiNCH, Frauenarzt, Hakan Abi, Haze, Jaill, Jan Delay, Jonesmann, Juju, Kaisa Natron, Kolja Goldstein, Kontra K, Kwam.E, LAAS, LX, makko, Massiv, MP FRESHLY, Nizi19, Olexesh, OTW, Reeperbahn Kareem, Sa4, Saliou, Samra, Sido, SIL3A, Silva, Ski Aggu, Tom Hengst, Vega, Veysel & Zined",1960,0,84,2025-04-18
am_rauw_alejandro_&_bad_bunny_qué_pasaría...,Qué Pasaría...,Rauw Alejandro & Bad Bunny,1952,0,85,2025-04-18
am_morgan_wallen_lies_lies_lies,Lies Lies Lies,Morgan Wallen,1945,0,86,2025-04-18
am_le_sserafim_hot,HOT,LE SSERAFIM,1925,0,87,2025-04-18
am_alemán_&_neton_vega_te_quería_ver,Te Quería Ver,Alemán & Neton Vega,1924,0,88,2025-04-18
am_babymonster_drip,DRIP,BABYMONSTER,1920,0,89,2025-04-18
am_chappell_roan_the_giver,The Giver,Chappell Roan,1899,0,90,2025-04-18
am_werenoi_poney,Poney,Werenoi,1894,0,91,2025-04-18
"am_partynextdoor,_drake_&_yebba_die_trying",DIE TRYING,"PARTYNEXTDOOR, Drake & Yebba",1867,0,92,2025-04-18
am_oimara_wackelkontakt,Wackelkontakt,Oimara,1866,0,93,2025-04-18
am_gims_ciel,CIEL,GIMS,1848,0,94,2025-04-18
am_bad_bunny_tití_me_preguntó,Tití Me Preguntó,Bad Bunny,1841,0,95,2025-04-18
am_david_guetta_&_sia_beautiful_people,Beautiful People,David Guetta & Sia,1840,0,96,2025-04-18
am_luke_combs_fast_car,Fast Car,Luke Combs,1799,0,97,2025-04-18
am_lbi_jumping_machine,Jumping Machine,LBI,1797,0,98,2025-04-18
am_alleh_&_yorghaki_capaz,capaz,Alleh & Yorghaki,1790,0,99,2025-04-18
am_journey_don't_stop_believin',Don't Stop Believin',Journey,1784,0,100,2025-04-18
