song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,19588,0,1,2025-03-10
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,17151,0,2,2025-03-10
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,16838,0,3,2025-03-10
am_lady_gaga_abracadabra,Abracadabra,Lady Gaga,15222,0,4,2025-03-10
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,14183,0,5,2025-03-10
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,12809,0,6,2025-03-10
am_lady_gaga_vanish_into_you,Vanish Into You,Lady Gaga,12199,0,7,2025-03-10
am_doechii_anxiety,Anxiety,Doechii,11666,0,8,2025-03-10
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,11624,0,9,2025-03-10
am_lola_young_messy,Messy,Lola Young,11567,0,10,2025-03-10
am_lady_gaga_garden_of_eden,Garden Of Eden,Lady Gaga,9847,0,11,2025-03-10
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,9149,0,12,2025-03-10
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,9148,0,13,2025-03-10
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,8817,0,14,2025-03-10
am_sleepy_hallow_anxiety,ANXIETY,Sleepy Hallow,8663,0,15,2025-03-10
am_tate_mcrae_sports_car,Sports car,Tate McRae,8631,0,16,2025-03-10
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,8420,0,17,2025-03-10
am_tate_mcrae_revolving_door,Revolving door,Tate McRae,8414,0,18,2025-03-10
am_drake_nokia,NOKIA,Drake,7745,0,19,2025-03-10
am_bad_bunny_dtmf,DtMF,Bad Bunny,7584,0,20,2025-03-10
am_lady_gaga_perfect_celebrity,Perfect Celebrity,Lady Gaga,7453,0,21,2025-03-10
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,7379,0,22,2025-03-10
am_chappell_roan_pink_pony_club,Pink Pony Club,Chappell Roan,7353,0,23,2025-03-10
am_lady_gaga_how_bad_do_u_want_me,How Bad Do U Want Me,Lady Gaga,7234,0,24,2025-03-10
am_jennie_like_jennie,like JENNIE,JENNIE,6986,0,25,2025-03-10
"am_kendrick_lamar,_sza_all_the_stars",All The Stars,"Kendrick Lamar, SZA",6354,0,26,2025-03-10
am_the_weeknd_cry_for_me,Cry For Me,The Weeknd,6343,0,27,2025-03-10
am_lady_gaga_zombieboy,Zombieboy,Lady Gaga,6153,0,28,2025-03-10
am_teddy_swims_lose_control,Lose Control,Teddy Swims,6036,0,29,2025-03-10
am_kendrick_lamar_tv_off,tv off,Kendrick Lamar,5928,0,30,2025-03-10
am_jennie_&_doechii_extral,ExtraL,JENNIE & Doechii,5770,0,31,2025-03-10
am_lady_gaga_disease,Disease,Lady Gaga,5670,0,32,2025-03-10
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,5566,0,33,2025-03-10
am_alex_warren_ordinary,Ordinary,Alex Warren,5503,0,34,2025-03-10
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,5496,0,35,2025-03-10
am_sza_30_for_30,30 For 30,SZA,5401,0,36,2025-03-10
