song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,19114,0,1,2024-10-17
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,18564,0,2,2024-10-17
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,15509,0,3,2024-10-17
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,13613,0,4,2024-10-17
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,11840,0,5,2024-10-17
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,11247,0,6,2024-10-17
am_sabrina_carpenter_please_please_please,Please Please Please,Sabrina Carpenter,10382,0,7,2024-10-17
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,9843,0,8,2024-10-17
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,9201,0,9,2024-10-17
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,8941,0,10,2024-10-17
am_teddy_swims_lose_control,Lose Control,Teddy Swims,8234,0,11,2024-10-17
am_charli_xcx_&_ariana_grande_sympathy_is_a_knife,Sympathy is a knife,Charli xcx & Ariana Grande,6838,0,12,2024-10-17
"am_gracie_abrams_i_love_you,_i'm_sorry","I Love You, I'm Sorry",Gracie Abrams,6580,0,13,2024-10-17
am_sabrina_carpenter_bed_chem,Bed Chem,Sabrina Carpenter,6534,0,14,2024-10-17
am_travis_scott_fen,FEN,Travis Scott,6450,0,15,2024-10-17
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,6424,0,16,2024-10-17
am_myles_smith_stargazing,Stargazing,Myles Smith,6315,0,17,2024-10-17
am_taylor_swift_cruel_summer,Cruel Summer,Taylor Swift,6125,0,18,2024-10-17
am_jennie_mantra,Mantra,JENNIE,6123,0,19,2024-10-17
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,6070,0,20,2024-10-17
am_the_weeknd_dancing_in_the_flames,Dancing In The Flames,The Weeknd,5987,0,21,2024-10-17
am_linkin_park_the_emptiness_machine,The Emptiness Machine,LINKIN PARK,5208,0,22,2024-10-17
am_billie_eilish_chihiro,CHIHIRO,Billie Eilish,4982,0,23,2024-10-17
am_one_direction_story_of_my_life,Story of My Life,One Direction,4917,0,24,2024-10-17
"am_coldplay,_little_simz,_burna_boy,_elyanna_&_tini_we_pray",WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",4913,0,25,2024-10-17
am_karol_g_si_antes_te_hubiera_conocido,Si Antes Te Hubiera Conocido,KAROL G,4898,0,26,2024-10-17
"am_adam_port,_stryv_&_malachiii_move",Move,"Adam Port, Stryv & Malachiii",4869,0,27,2024-10-17
am_charli_xcx_&_billie_eilish_guess,Guess,Charli xcx & Billie Eilish,4836,0,28,2024-10-17
am_aespa_up,UP,aespa,4818,0,29,2024-10-17
am_floyymenor_&_cris_mj_gata_only,Gata Only,floyymenor & Cris Mj,4762,0,30,2024-10-17
am_hozier_too_sweet,Too Sweet,Hozier,4510,0,31,2024-10-17
am_coldplay_viva_la_vida,Viva La Vida,Coldplay,4269,0,32,2024-10-17
