song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,18688,0,1,2024-12-07
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,16581,0,2,2024-12-07
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,15141,0,3,2024-12-07
am_mariah_carey_all_i_want_for_christmas_is_you,All I Want For Christmas Is You,Mariah Carey,14669,0,4,2024-12-07
am_wham!_last_christmas,Last Christmas,Wham!,11214,0,5,2024-12-07
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,10856,0,6,2024-12-07
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,10554,0,7,2024-12-07
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,10551,0,8,2024-12-07
am_michael_bublé_it's_beginning_to_look_a_lot_like_christmas,It's Beginning To Look a Lot Like Christmas,Michael Bublé,9720,0,9,2024-12-07
am_kelly_clarkson_underneath_the_tree,Underneath the Tree,Kelly Clarkson,9290,0,10,2024-12-07
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,8923,0,11,2024-12-07
am_bobby_helms_jingle_bell_rock,Jingle Bell Rock,Bobby Helms,8780,0,12,2024-12-07
am_ariana_grande_santa_tell_me,Santa Tell Me,Ariana Grande,8417,0,13,2024-12-07
am_andy_williams_it's_the_most_wonderful_time_of_the_year,It's the Most Wonderful Time of the Year,Andy Williams,8279,0,14,2024-12-07
am_kendrick_lamar_tv_off,tv off,Kendrick Lamar,7912,0,15,2024-12-07
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,7871,0,16,2024-12-07
am_kendrick_lamar_squabble_up,squabble up,Kendrick Lamar,6810,0,17,2024-12-07
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,6768,0,18,2024-12-07
am_brenda_lee_rockin'_around_the_christmas_tree,Rockin' Around the Christmas Tree,Brenda Lee,6663,0,19,2024-12-07
am_dean_martin_let_it_snow_let_it_snow_let_it_snow,Let It Snow Let It Snow Let It Snow,Dean Martin,6568,0,20,2024-12-07
am_josé_feliciano_feliz_navidad,Feliz Navidad,José Feliciano,6522,0,21,2024-12-07
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,6483,0,22,2024-12-07
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,6278,0,23,2024-12-07
am_teddy_swims_lose_control,Lose Control,Teddy Swims,6166,0,24,2024-12-07
am_sabrina_carpenter_please_please_please,Please Please Please,Sabrina Carpenter,6084,0,25,2024-12-07
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,6007,0,26,2024-12-07
am_sia_snowman,Snowman,Sia,5778,0,27,2024-12-07
am_rosé_toxic_till_the_end,toxic till the end,ROSÉ,5298,0,28,2024-12-07
am_hozier_too_sweet,Too Sweet,Hozier,5084,0,29,2024-12-07
am_aespa_whiplash,Whiplash,aespa,4996,0,30,2024-12-07
am_rosé_number_one_girl,number one girl,ROSÉ,4980,0,31,2024-12-07
am_the_ronettes_sleigh_ride,Sleigh Ride,The Ronettes,4927,0,32,2024-12-07
am_justin_bieber_mistletoe,Mistletoe,Justin Bieber,4684,0,33,2024-12-07
am_gigi_perez_sailor_song,Sailor Song,Gigi Perez,4681,0,34,2024-12-07
am_ed_sheeran_&_elton_john_merry_christmas,Merry Christmas,Ed Sheeran & Elton John,4495,0,35,2024-12-07
am_shakin'_stevens_merry_christmas_everyone,Merry Christmas Everyone,Shakin' Stevens,4399,0,36,2024-12-07
am_cynthia_erivo_defying_gravity,Defying Gravity,Cynthia Erivo,4205,0,37,2024-12-07
am_elton_john_step_into_christmas,Step Into Christmas,Elton John,4191,0,38,2024-12-07
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,4091,0,39,2024-12-07
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,4016,0,40,2024-12-07
am_michael_bublé_holly_jolly_christmas,Holly Jolly Christmas,Michael Bublé,3798,0,41,2024-12-07
am_chris_rea_driving_home_for_christmas,Driving Home For Christmas,Chris Rea,3795,0,42,2024-12-07
am_kendrick_lamar_wacced_out_murals,wacced out murals,Kendrick Lamar,3709,0,43,2024-12-07
am_darlene_love_christmas,Christmas,Darlene Love,3697,0,44,2024-12-07
am_rosé_two_years,two years,ROSÉ,3623,0,45,2024-12-07
am_rosé_3am,3am,ROSÉ,3607,0,46,2024-12-07
am_bad_bunny_el_clúb,EL CLúB,Bad Bunny,3561,0,47,2024-12-07
am_rosé_drinks_or_coffee,drinks or coffee,ROSÉ,3542,0,48,2024-12-07
am_sabrina_carpenter_bed_chem,Bed Chem,Sabrina Carpenter,3531,0,49,2024-12-07
am_kendrick_lamar_reincarnated,reincarnated,Kendrick Lamar,3435,0,50,2024-12-07
am_taylor_swift_cruel_summer,Cruel Summer,Taylor Swift,3411,0,51,2024-12-07
am_rosé_gameboy,gameboy,ROSÉ,3406,0,52,2024-12-07
am_stromae_&_pomme_ma_meilleure_ennemie,Ma Meilleure Ennemie,Stromae & Pomme,3402,0,53,2024-12-07
am_paul_mccartney_wonderful_christmastime,Wonderful Christmastime,Paul McCartney,3338,0,54,2024-12-07
am_kendrick_lamar_hey_now,hey now,Kendrick Lamar,3266,0,55,2024-12-07
am_rosé_stay_a_little_longer,stay a little longer,ROSÉ,3213,0,56,2024-12-07
am_karol_g_si_antes_te_hubiera_conocido,Si Antes Te Hubiera Conocido,KAROL G,3104,0,57,2024-12-07
am_babymonster_drip,DRIP,BABYMONSTER,3048,0,58,2024-12-07
am_rauw_alejandro_&_bad_bunny_qué_pasaría...,Qué Pasaría...,Rauw Alejandro & Bad Bunny,3018,0,59,2024-12-07
am_linkin_park_the_emptiness_machine,The Emptiness Machine,LINKIN PARK,2941,0,60,2024-12-07
am_myles_smith_stargazing,Stargazing,Myles Smith,2929,0,61,2024-12-07
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,2870,0,62,2024-12-07
am_sza_snooze,Snooze,SZA,2790,0,63,2024-12-07
am_band_aid_20_do_they_know_it's_christmas,Do They Know It's Christmas,Band Aid 20,2727,0,64,2024-12-07
am_burl_ives_a_holly_jolly_christmas,A Holly Jolly Christmas,Burl Ives,2697,0,65,2024-12-07
am_billie_eilish_chihiro,CHIHIRO,Billie Eilish,2684,0,66,2024-12-07
am_rosé_not_the_same,not the same,ROSÉ,2660,0,67,2024-12-07
am_kendrick_lamar_heart_pt._6,heart pt. 6,Kendrick Lamar,2649,0,68,2024-12-07
am_chuck_berry_run_rudolph_run,Run Rudolph Run,Chuck Berry,2608,0,69,2024-12-07
am_ariana_grande_popular,Popular,Ariana Grande,2592,0,70,2024-12-07
am_rauw_alejandro_&_romeo_santos_khé,Khé,Rauw Alejandro & Romeo Santos,2551,0,71,2024-12-07
am_kendrick_lamar_man_at_the_garden,man at the garden,Kendrick Lamar,2536,0,72,2024-12-07
am_john_lennon_&_yoko_ono_happy_xmas,Happy Xmas,John Lennon & Yoko Ono,2483,0,73,2024-12-07
am_aespa_supernova,Supernova,aespa,2475,0,74,2024-12-07
am_rosé_too_bad_for_us,too bad for us,ROSÉ,2469,0,75,2024-12-07
am_leona_lewis_one_more_sleep,One More Sleep,Leona Lewis,2452,0,76,2024-12-07
am_rosé_call_it_the_end,call it the end,ROSÉ,2447,0,77,2024-12-07
am_the_pogues_fairytale_of_new_york,Fairytale of New York,The Pogues,2395,0,78,2024-12-07
am_kendrick_lamar_dodger_blue,dodger blue,Kendrick Lamar,2382,0,79,2024-12-07
am_lola_young_messy,Messy,Lola Young,2361,0,80,2024-12-07
am_the_beach_boys_little_saint_nick,Little Saint Nick,The Beach Boys,2351,0,81,2024-12-07
"am_gracie_abrams_i_love_you,_i'm_sorry","I Love You, I'm Sorry",Gracie Abrams,2341,0,82,2024-12-07
