song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,19754,0,1,2025-02-03
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,19525,0,2,2025-02-03
am_the_weeknd_cry_for_me,Cry For Me,The Weeknd,18626,0,3,2025-02-03
am_the_weeknd_&_anitta_são_paulo,São Paulo,The Weeknd & Anitta,14164,0,4,2025-02-03
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,14160,0,5,2025-02-03
am_the_weeknd_&_justice_wake_me_up,Wake Me Up,The Weeknd & Justice,14044,0,6,2025-02-03
am_lola_young_messy,Messy,Lola Young,13765,0,7,2025-02-03
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,12869,0,8,2025-02-03
am_the_weeknd_baptized_in_fear,Baptized In Fear,The Weeknd,12446,0,9,2025-02-03
am_the_weeknd_open_hearts,Open Hearts,The Weeknd,12323,0,10,2025-02-03
am_bad_bunny_dtmf,DtMF,Bad Bunny,11704,0,11,2025-02-03
"am_the_weeknd,_travis_scott_&_florence_+_the_machine_reflections_laughing",Reflections Laughing,"The Weeknd, Travis Scott & Florence + the Machine",11145,0,12,2025-02-03
am_the_weeknd_i_can't_fucking_sing,I Can't Fucking Sing,The Weeknd,10758,0,13,2025-02-03
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,10379,0,14,2025-02-03
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,10356,0,15,2025-02-03
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,9450,0,16,2025-02-03
am_the_weeknd_&_future_enjoy_the_show,Enjoy The Show,The Weeknd & Future,8674,0,17,2025-02-03
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,8492,0,18,2025-02-03
am_the_weeknd_niagara_falls,Niagara Falls,The Weeknd,8378,0,19,2025-02-03
am_bad_bunny_nuevayol,NUEVAYoL,Bad Bunny,7915,0,20,2025-02-03
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,7571,0,21,2025-02-03
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,7467,0,22,2025-02-03
am_the_weeknd_opening_night,Opening Night,The Weeknd,7311,0,23,2025-02-03
am_bad_bunny_baile_inolvidable,BAILE INoLVIDABLE,Bad Bunny,7065,0,24,2025-02-03
am_the_weeknd_the_abyss,The Abyss,The Weeknd,7065,0,25,2025-02-03
am_the_weeknd_given_up_on_me,Given Up On Me,The Weeknd,6947,0,26,2025-02-03
