song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,14586,0,1,2025-06-01
am_alex_warren_ordinary,Ordinary,Alex Warren,14301,0,2,2025-06-01
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,13076,0,3,2025-06-01
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,10762,0,4,2025-06-01
am_tate_mcrae_just_keep_watching,Just Keep Watching,Tate McRae,9185,0,5,2025-06-01
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,8369,0,6,2025-06-01
am_kendrick_lamar_&_sza_luther,luther,Kendrick Lamar & SZA,7995,0,7,2025-06-01
am_lola_young_messy,Messy,Lola Young,7466,0,8,2025-06-01
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,7433,0,9,2025-06-01
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,7325,0,10,2025-06-01
am_doechii_anxiety,Anxiety,Doechii,6817,0,11,2025-06-01
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,6504,0,12,2025-06-01
"am_moliy,_silent_addy,_skillibeng_&_shenseea_shake_it_to_the_max",Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",6152,0,13,2025-06-01
am_ed_sheeran_azizam,Azizam,Ed Sheeran,6134,0,14,2025-06-01
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,5911,0,15,2025-06-01
am_kendrick_lamar_not_like_us,Not Like Us,Kendrick Lamar,5773,0,16,2025-06-01
am_lady_gaga_abracadabra,Abracadabra,Lady Gaga,5483,0,17,2025-06-01
am_drake_nokia,NOKIA,Drake,5468,0,18,2025-06-01
am_morgan_wallen_&_tate_mcrae_what_i_want,What I Want,Morgan Wallen & Tate McRae,5447,0,19,2025-06-01
am_chappell_roan_pink_pony_club,Pink Pony Club,Chappell Roan,5394,0,20,2025-06-01
am_teddy_swims_bad_dreams,Bad Dreams,Teddy Swims,5246,0,21,2025-06-01
am_bad_bunny_dtmf,DtMF,Bad Bunny,5165,0,22,2025-06-01
am_teddy_swims_lose_control,Lose Control,Teddy Swims,5059,0,23,2025-06-01
am_tate_mcrae_sports_car,Sports car,Tate McRae,5028,0,24,2025-06-01
am_wizthemc_&_bees_&_honey_show_me_love,Show Me Love,WizTheMc & bees & honey,4649,0,25,2025-06-01
am_charli_xcx_party_4_u,party 4 u,Charli xcx,4364,0,26,2025-06-01
am_benson_boone_mystical_magical,Mystical Magical,Benson Boone,4324,0,27,2025-06-01
am_tommy_cash_espresso_macchiato,Espresso Macchiato,Tommy Cash,4155,0,28,2025-06-01
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,4051,0,29,2025-06-01
am_ravyn_lenae_love_me_not,Love Me Not,Ravyn Lenae,4017,0,30,2025-06-01
am_jennie_like_jennie,like JENNIE,JENNIE,3962,0,31,2025-06-01
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,3880,0,32,2025-06-01
am_sombr_back_to_friends,back to friends,sombr,3710,0,33,2025-06-01
am_myles_smith_stargazing,Stargazing,Myles Smith,3444,0,34,2025-06-01
am_morgan_wallen_i'm_the_problem,I'm The Problem,Morgan Wallen,3363,0,35,2025-06-01
am_sombr_undressed,undressed,sombr,3221,0,36,2025-06-01
