song_id,song_name,artist_name,streams,playlist_adds,chart_position,collection_date
am_billie_eilish_birds_of_a_feather,BIRDS OF A FEATHER,Billie Eilish,18804,0,1,2024-11-20
am_lady_gaga_&_bruno_mars_die_with_a_smile,Die With A Smile,Lady Gaga & Bruno Mars,18469,0,2,2024-11-20
am_rosé_&_bruno_mars_apt.,APT.,ROSÉ & Bruno Mars,17868,0,3,2024-11-20
am_sabrina_carpenter_espresso,Espresso,Sabrina Carpenter,14183,0,4,2024-11-20
am_gracie_abrams_that’s_so_true,That’s So True,Gracie Abrams,13436,0,5,2024-11-20
am_the_weeknd_&_playboi_carti_timeless,Timeless,The Weeknd & Playboi Carti,11931,0,6,2024-11-20
am_billie_eilish_wildflower,WILDFLOWER,Billie Eilish,11793,0,7,2024-11-20
am_sabrina_carpenter_taste,Taste,Sabrina Carpenter,10175,0,8,2024-11-20
"am_chappell_roan_good_luck,_babe","Good Luck, Babe",Chappell Roan,9870,0,9,2024-11-20
am_benson_boone_beautiful_things,Beautiful Things,Benson Boone,8756,0,10,2024-11-20
am_shaboozey_a_bar_song,A Bar Song,Shaboozey,8690,0,11,2024-11-20
am_sabrina_carpenter_please_please_please,Please Please Please,Sabrina Carpenter,8504,0,12,2024-11-20
am_teddy_swims_lose_control,Lose Control,Teddy Swims,8107,0,13,2024-11-20
am_gigi_perez_sailor_song,Sailor Song,Gigi Perez,7718,0,14,2024-11-20
am_mariah_carey_all_i_want_for_christmas_is_you,All I Want For Christmas Is You,Mariah Carey,7656,0,15,2024-11-20
am_linkin_park_the_emptiness_machine,The Emptiness Machine,LINKIN PARK,7346,0,16,2024-11-20
am_hozier_too_sweet,Too Sweet,Hozier,7058,0,17,2024-11-20
am_post_malone_i_had_some_help,I Had Some Help,Post Malone,6156,0,18,2024-11-20
am_linkin_park_heavy_is_the_crown,Heavy Is the Crown,LINKIN PARK,5954,0,19,2024-11-20
"am_gracie_abrams_i_love_you,_i'm_sorry","I Love You, I'm Sorry",Gracie Abrams,5694,0,20,2024-11-20
am_billie_eilish_chihiro,CHIHIRO,Billie Eilish,5533,0,21,2024-11-20
am_myles_smith_stargazing,Stargazing,Myles Smith,5472,0,22,2024-11-20
am_sabrina_carpenter_bed_chem,Bed Chem,Sabrina Carpenter,5441,0,23,2024-11-20
am_linkin_park_two_faced,Two Faced,LINKIN PARK,5330,0,24,2024-11-20
