song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Old Phone,Ed Sheeran,121,0,121,2025-09-01
back to friends,sombr,41,0,41,2025-09-01
Eternity,Alex Warren,46,0,46,2025-09-01
What I Want,Morgan Wallen & Tate McRae,107,0,107,2025-09-01
Someone You Loved,Lewis Capaldi,1419,0,1419,2025-09-01
Vaitimbora,Trinix & Mariana Froes,70,0,70,2025-09-01
Baila de Gasolina,Effe Serieus,78,0,78,2025-09-01
Holy Water,Marshmello & Jelly Roll,14,0,14,2025-09-01
Sorry I'm Here For Someone Else,Benson Boone,180,0,180,2025-09-01
GRAND CHAMP,BMSG ALLSTARS,1,0,1,2025-09-01
Silver Lining,Laufey,3,0,3,2025-09-01
VERLIEBT IN MICH,FAYAN & Dalton,4,0,4,2025-09-01
Bounce Man,ROCKY,2,0,2,2025-09-01
Espresso,Sabrina Carpenter,472,0,472,2025-09-01
Secret Garden,BE:FIRST,8,0,8,2025-09-01
Breakin' Dishes,Rihanna,7,0,7,2025-09-01
Gianna,Pietro Basile,123,0,123,2025-09-01
Dreams,The Cranberries,63,0,63,2025-09-01
Wild World,Cat Stevens,1,0,1,2025-09-01
Questa domenica,Olly & Juli,4,0,4,2025-09-01
Si Antes Te Hubiera Conocido,KAROL G,436,0,436,2025-09-01
Sailing,Christopher Cross,5,0,5,2025-09-01
Love Me Not,Ravyn Lenae,96,0,96,2025-09-01
Have You Ever Seen the Rain,Creedence Clearwater Revival,144,0,144,2025-09-01
Creep,Radiohead,187,0,187,2025-09-01
Summer Shadow,Mrs. GREEN APPLE,22,0,22,2025-09-01
Yellow,Coldplay,310,0,310,2025-09-01
Hurricane,Katie Price,2,0,2,2025-09-01
Dreams,Fleetwood Mac,296,0,296,2025-09-01
Dancing2,Keli Holiday,17,0,17,2025-09-01
Haikei Shounenyo,Hump Back,14,0,14,2025-09-01
"Sally, When The Wine Runs Out",ROLE MODEL,12,0,12,2025-09-01
If He Wanted To He Would,Perrie,11,0,11,2025-09-01
Succession,Nicholas Britell,43,0,43,2025-09-01
SORA IPPAI NI KANADERU INORI,Aqua Timez,1,0,1,2025-09-01
Bottle Rockets,Scotty McCreery,68,0,68,2025-09-01
"Lo Que Pasó, Pasó",Alvaro Soler & Marta Santos,4,0,4,2025-09-01
Crazy Train,Ozzy Osbourne,40,0,40,2025-09-01
no tiene sentido,Beéle,33,0,33,2025-09-01
Folded,Kehlani,6,0,6,2025-09-01
Bella Napoli,Roy Bianco & Die Abbrunzati Boys,63,0,63,2025-09-01
Bloodline,Alex Warren & Jelly Roll,83,0,83,2025-09-01
Zombie,The Cranberries,292,0,292,2025-09-01
Unstoppable,Sia,1830,0,1830,2025-09-01
めにしゅき♡ラッシュっしゅ,"カレンチャン (CV. 篠原 侑), スティルインラブ (CV. 宮下早紀), フサイチパンドラ (CV. 佳原萌枝), アドマイヤグルーヴ (CV. 鈴木日菜), ラッキーライラック (CV. 中島由貴), ラヴズオンリーユー (CV. 久保田未夢) & ステイゴールド (CV. 松田颯水)",2,0,2,2025-09-01
Blue Jeans,HANA,51,0,51,2025-09-01
Zweifelturm,Pizzera & Jaus,4,0,4,2025-09-01
The Devil Is A Democrat,Tom MacDonald,16,0,16,2025-09-01
A Thousand Years,Christina Perri,2499,0,2499,2025-09-01
Dior,MK,78,0,78,2025-09-01
august,Taylor Swift,75,0,75,2025-09-01
The One,Michael Patrick Kelly,14,0,14,2025-09-01
Lilac,Mrs. Green Apple,479,0,479,2025-09-01
Baila Baila,"Mickie Krause, Lorenz Büffel, Kings of Günter & Immer Hansi",8,0,8,2025-09-01
Goodness of God,CeCe Winans,60,0,60,2025-09-01
Sweet Child o' Mine,Guns N' Roses,183,0,183,2025-09-01
Monster,Kool Savas & Enny-Mae,4,0,4,2025-09-01
Just In Case,Morgan Wallen,147,0,147,2025-09-01
Against the Kings and Gods,MAN WITH A MISSION,4,0,4,2025-09-01
Rashisa,OFFICIAL HIGE DANDISM,17,0,17,2025-09-01
COLOR,NCT WISH,1,0,1,2025-09-01
YOUR WAY'S BETTER,Forrest Frank,119,0,119,2025-09-01
Nice To Meet You,Myles Smith,290,0,290,2025-09-01
Back in the Saddle,Luke Combs,25,0,25,2025-09-01
(M)EiNE GESCHiCHTE,Whorensohn,14,0,14,2025-09-01
Body,"Topic, Fireboy DML & Nico Santos",4,0,4,2025-09-01
Wonderful Life '25,Hurts & Purple Disco Machine,45,0,45,2025-09-01
Carmine,Ellegarden,20,0,20,2025-09-01
Everybody Wants to Rule the World,Tears for Fears,156,0,156,2025-09-01
Saitei Kaiwai,tuki.,5,0,5,2025-09-01
Backup Plan,Bailey Zimmerman & Luke Combs,97,0,97,2025-09-01
Somewhere Over Laredo,Lainey Wilson,26,0,26,2025-09-01
Dahaa Theme,"Anirudh Ravichander, Lalo Salamanca & Heisenberg",4,0,4,2025-09-01
Fix You,Coldplay,270,0,270,2025-09-01
