song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Killin' It Girl,j-hope & GloRilla,6,0,6,2025-06-18
Ordinary,Alex Warren,132,0,132,2025-06-18
Die With A Smile,Lady Gaga & Bruno Mars,307,0,307,2025-06-18
Sapphire,Ed Sheeran,13,0,13,2025-06-18
Azizam,Ed Sheeran,76,0,76,2025-06-18
Messy,Lola Young,211,0,211,2025-06-18
APT.,ROSÉ & Bruno Mars,244,0,244,2025-06-18
Killin' It Girl,j-hope,6,0,6,2025-06-18
Can You Hear Me,Amy Macdonald,1,0,1,2025-06-18
Anxiety,Doechii,106,0,106,2025-06-18
Abracadabra,Lady Gaga,136,0,136,2025-06-18
Beautiful Things,Benson Boone,517,0,517,2025-06-18
Manchild,Sabrina Carpenter,13,0,13,2025-06-18
Bad Dreams,Teddy Swims,279,0,279,2025-06-18
The Glen,Levi Heron,40,0,40,2025-06-18
End of the World,Miley Cyrus,76,0,76,2025-06-18
Pink Pony Club,Chappell Roan,332,0,332,2025-06-18
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",61,0,61,2025-06-18
A Bar Song,Shaboozey,433,0,433,2025-06-18
BIRDS OF A FEATHER,Billie Eilish,398,0,398,2025-06-18
Lose Control,Teddy Swims,710,0,710,2025-06-18
Same Questions,Max McNown,13,0,13,2025-06-18
NOKIA,Drake,124,0,124,2025-06-18
The Door,Teddy Swims,516,0,516,2025-06-18
The Sound of Silence,Disturbed,1758,0,1758,2025-06-18
Sorry I'm Here For Someone Else,Benson Boone,111,0,111,2025-06-18
Mystical Magical,Benson Boone,55,0,55,2025-06-18
Always Remember Us This Way,Lady Gaga,2106,0,2106,2025-06-18
Pretty Little Baby,Connie Francis,40,0,40,2025-06-18
Espresso Macchiato,Tommy Cash,47,0,47,2025-06-18
Scornful Woman,Oliver Anthony Music,14,0,14,2025-06-18
God Only Knows,The Beach Boys,7,0,7,2025-06-18
Old Phone,Ed Sheeran,48,0,48,2025-06-18
There She Goes,"CYRIL, MOONLGHT & The La's",34,0,34,2025-06-18
Wondering Why,The Red Clay Strays,61,0,61,2025-06-18
Beautiful People,David Guetta & Sia,104,0,104,2025-06-18
Stargazing,Myles Smith,405,0,405,2025-06-18
How Do I Say Goodbye,Dean Lewis,653,0,653,2025-06-18
Zombie,YUNGBLUD,20,0,20,2025-06-18
Blessings,Calvin Harris & Clementine Douglas,41,0,41,2025-06-18
Bloodline,Alex Warren & Jelly Roll,8,0,8,2025-06-18
Si Antes Te Hubiera Conocido,KAROL G,363,0,363,2025-06-18
The New Thing Dies,Ray Bull,11,0,11,2025-06-18
Viva la Vida,Coldplay,1770,0,1770,2025-06-18
かくれんぼ,PLAVE,3,0,3,2025-06-18
The Power Of Love,Blasterjaxx,17,0,17,2025-06-18
Her Nerdeysen,Ati242,51,0,51,2025-06-18
Espresso,Sabrina Carpenter,431,0,431,2025-06-18
Show Me Love,WizTheMc & bees & honey,88,0,88,2025-06-18
ჩუბინა,East Duo,125,0,125,2025-06-18
Eye of the Tiger,Survivor,164,0,164,2025-06-18
Billyeoon Goyangi,ILLIT,3,0,3,2025-06-18
BEYOND THE TIME,TM NETWORK,1,0,1,2025-06-18
A Thousand Years,Christina Perri,2429,0,2429,2025-06-18
I Had Some Help,Post Malone,404,0,404,2025-06-18
Lemon Drop,ATEEZ,6,0,6,2025-06-18
Holy Blindfold,Chris Brown,6,0,6,2025-06-18
Be Mine,KAMRAD,34,0,34,2025-06-18
Hollow,Stray Kids,8,0,8,2025-06-18
Hachikō,Fujii Kaze,5,0,5,2025-06-18
STYLE,Hearts2Hearts,1,0,1,2025-06-18
undressed,sombr,37,0,37,2025-06-18
Better Me For You,Max McNown,112,0,112,2025-06-18
Thunderstruck,Ac/Dc,752,0,752,2025-06-18
Suzanne,Mark Ronson & RAYE,6,0,6,2025-06-18
Victory Lap,"Fred again.., Skepta & PlaqueBoyMax",1,0,1,2025-06-18
La felicità - So nah wie noch nie,Pupo & Nockis,5,0,5,2025-06-18
Good News,Shaboozey,216,0,216,2025-06-18
Regen,SOPHIA,6,0,6,2025-06-18
I Adore You,"HUGEL, Topic & Arash",316,0,316,2025-06-18
Good Vibrations,The Beach Boys,14,0,14,2025-06-18
Starburster,Fontaines D.C.,78,0,78,2025-06-18
Outro,M83,6,0,6,2025-06-18
Unstoppable,Sia,1765,0,1765,2025-06-18
Worst Way,Riley Green,98,0,98,2025-06-18
Just Keep Watching,Tate McRae,20,0,20,2025-06-18
Nice To Meet You,Myles Smith,223,0,223,2025-06-18
What I Want,Morgan Wallen & Tate McRae,33,0,33,2025-06-18
luther,Kendrick Lamar & SZA,192,0,192,2025-06-18
That’s So True,Gracie Abrams,237,0,237,2025-06-18
