song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Ordinary,Alex Warren,113,0,113,2025-05-30
Die With A Smile,Lady Gaga & Bruno Mars,288,0,288,2025-05-30
APT.,ROSÉ & Bruno Mars,225,0,225,2025-05-30
Anxiety,Doechii,87,0,87,2025-05-30
Azizam,Ed Sheeran,57,0,57,2025-05-30
End of the World,Miley Cyrus,57,0,57,2025-05-30
Adelita,Bruce Springsteen,1,0,1,2025-05-30
Abracadabra,Lady Gaga,117,0,117,2025-05-30
Messy,Lola Young,192,0,192,2025-05-30
Just Keep Watching,Tate McRae,1,0,1,2025-05-30
Man Of The Year,Lorde,2,0,2,2025-05-30
Beautiful Things,Benson Boone,498,0,498,2025-05-30
Easy Lover,Miley Cyrus,1,0,1,2025-05-30
Pink Pony Club,Chappell Roan,313,0,313,2025-05-30
Bad Dreams,Teddy Swims,260,0,260,2025-05-30
I Got A New One,Elizabeth Nichols,2,0,2,2025-05-30
Espresso Macchiato,Tommy Cash,28,0,28,2025-05-30
The Glen,Levi Heron,21,0,21,2025-05-30
cliché,mgk,8,0,8,2025-05-30
BIRDS OF A FEATHER,Billie Eilish,379,0,379,2025-05-30
A Bar Song,Shaboozey,414,0,414,2025-05-30
Pretty Little Baby,Connie Francis,21,0,21,2025-05-30
The Sound of Silence,Disturbed,1739,0,1739,2025-05-30
Zombie,YUNGBLUD,1,0,1,2025-05-30
THUNDER,SEVENTEEN,5,0,5,2025-05-30
NOKIA,Drake,105,0,105,2025-05-30
Lose Control,Teddy Swims,691,0,691,2025-05-30
Everest,Halestorm,1,0,1,2025-05-30
Drone:Nodrone,The Cure & Daniel Avery,1,0,1,2025-05-30
Take me back,HAIM,1,0,1,2025-05-30
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",42,0,42,2025-05-30
Blessings,Calvin Harris & Clementine Douglas,22,0,22,2025-05-30
Mystical Magical,Benson Boone,36,0,36,2025-05-30
The Door,Teddy Swims,497,0,497,2025-05-30
Always Remember Us This Way,Lady Gaga,2087,0,2087,2025-05-30
Song 3,BABYMETAL & Slaughter to Prevail,2,0,2,2025-05-30
Bloodline,Alex Warren,8,0,8,2025-05-30
The Power Of Love,Blasterjaxx,1,0,1,2025-05-30
High As You,Mark Tuan,1,0,1,2025-05-30
Beautiful People,David Guetta & Sia,85,0,85,2025-05-30
Sorry I'm Here For Someone Else,Benson Boone,92,0,92,2025-05-30
Fame is a Gun,Addison Rae,1,0,1,2025-05-30
Starburster,Fontaines D.C.,59,0,59,2025-05-30
Old Phone,Ed Sheeran,29,0,29,2025-05-30
Don’t Say You Love Me,Jin,15,0,15,2025-05-30
Momma Song,Benson Boone,8,0,8,2025-05-30
More to Lose,Miley Cyrus,17,0,17,2025-05-30
Her Nerdeysen,DJ Unzensiert,24,0,24,2025-05-30
I'm The Problem,Morgan Wallen,120,0,120,2025-05-30
Lovin Myself,Ava Max,1,0,1,2025-05-30
Kimagure Romantic,NAYEON,1,0,1,2025-05-30
Wenn das Liebe ist,Nina Chuba,1,0,1,2025-05-30
Homesick For Heaven,Phil Wickham,1,0,1,2025-05-30
Good News,Shaboozey,197,0,197,2025-05-30
luther,Kendrick Lamar & SZA,173,0,173,2025-05-30
That’s So True,Gracie Abrams,219,0,219,2025-05-30
tulipanes,Chiara Oliver & Pablo López,1,0,1,2025-05-30
Carry You Home,Alex Warren,310,0,310,2025-05-30
Show Me Love,WizTheMc & bees & honey,69,0,69,2025-05-30
Bara Bada Bastu,KAJ,32,0,32,2025-05-30
Her Nerdeysen,Ati242,32,0,32,2025-05-30
Thunderstruck,Ac/Dc,733,0,733,2025-05-30
Si Antes Te Hubiera Conocido,KAROL G,344,0,344,2025-05-30
Liar,Jelly Roll,253,0,253,2025-05-30
What I Want,Morgan Wallen & Tate McRae,14,0,14,2025-05-30
FICKA,Sarah Connor,48,0,48,2025-05-30
YOUR WAY'S BETTER,Forrest Frank,51,0,51,2025-05-30
EX EX EX,Aitana & Kenia Os,1,0,1,2025-05-30
Nice To Meet You,Myles Smith,204,0,204,2025-05-30
WHY,Jon Bellion & Luke Combs,8,0,8,2025-05-30
跳樓機,LBI利比,6,0,6,2025-05-30
Wackelkontakt,Oimara,134,0,134,2025-05-30
Stumblin' In,Cyril,558,0,558,2025-05-30
Ace Trumpets,"Clipse, Pusha T & No Malice",1,0,1,2025-05-30
Stargazing,Myles Smith,386,0,386,2025-05-30
Next Summer,Damiano David,92,0,92,2025-05-30
Walk of Fame,Miley Cyrus,1,0,1,2025-05-30
Baller,Abor & Tynna,31,0,31,2025-05-30
Somewhere Over Laredo,Lainey Wilson,8,0,8,2025-05-30
Up From the Bottom,LINKIN PARK,64,0,64,2025-05-30
Hard Fought Hallelujah,Brandon Lake & Jelly Roll,74,0,74,2025-05-30
Wasted Love,JJ,18,0,18,2025-05-30
Don't Stop Believin',Journey,501,0,501,2025-05-30
Desire,Bono,1,0,1,2025-05-30
The Emptiness Machine,LINKIN PARK,263,0,263,2025-05-30
WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",277,0,277,2025-05-30
Plazma,Kenshi Yonezu,112,0,112,2025-05-30
Believer,Imagine Dragons,2340,0,2340,2025-05-30
encore,Hey! Say! JUMP,3,0,3,2025-05-30
A Thousand Years,Christina Perri,2411,0,2411,2025-05-30
Better Than the Bottle,Cody Jinks,1,0,1,2025-05-30
Be Mine,KAMRAD,15,0,15,2025-05-30
There She Goes,"CYRIL, MOONLGHT & The La's",15,0,15,2025-05-30
blue,yung kai,172,0,172,2025-05-30
Bésame,Alejandro Sanz & Shakira,8,0,8,2025-05-30
undressed,sombr,18,0,18,2025-05-30
LATINA FOREVA,KAROL G,8,0,8,2025-05-30
All The Way,BigXthaPlug & Bailey Zimmerman,57,0,57,2025-05-30
GRIT,BE:FIRST,5,0,5,2025-05-30
Bottom Of It,Cole Swindell,1,0,1,2025-05-30
Where Our Blue Is,Tatsuya Kitani,136,0,136,2025-05-30
Lichtje Branden,Suzan & Freek,3,0,3,2025-05-30
La Plena,"W Sound, Beéle & Ovy On the Drums",33,0,33,2025-05-30
Watch me,YOASOBI,13,0,13,2025-05-30
That's What You Do For Love,Jimmy Barnes,1,0,1,2025-05-30
Kaiga,Motoki Ohmori,2,0,2,2025-05-30
Just In Case,Morgan Wallen,71,0,71,2025-05-30
Messy,ROSÉ,22,0,22,2025-05-30
Zombie Lady,Damiano David,10,0,10,2025-05-30
Muchu,BE:FIRST,30,0,30,2025-05-30
Als Het Avond Is,Suzan & Freek,131,0,131,2025-05-30
Wonderful Life '25,Hurts & Purple Disco Machine,7,0,7,2025-05-30
Flowers,Miley Cyrus,857,0,857,2025-05-30
Girls Night In,Trisha Yearwood,1,0,1,2025-05-30
El vino de tu boca,Alejandro Sanz,8,0,8,2025-05-30
Gianna,Pietro Basile,65,0,65,2025-05-30
