song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Ordinary,Alex Warren,166,0,166,2025-07-22
Golden,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",32,0,32,2025-07-22
JUMP,BLACKPINK,12,0,12,2025-07-22
DAISIES,Justin Bieber,12,0,12,2025-07-22
Sapphire,Ed Sheeran,47,0,47,2025-07-22
APT.,ROSÉ & Bruno Mars,278,0,278,2025-07-22
Beautiful Strangers,TOMORROW X TOGETHER,2,0,2,2025-07-22
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",32,0,32,2025-07-22
Die With A Smile,Lady Gaga & Bruno Mars,341,0,341,2025-07-22
Messy,Lola Young,245,0,245,2025-07-22
Changes,"YUNGBLUD, Nuno Bettencourt & Frank Bello",4,0,4,2025-07-22
Azizam,Ed Sheeran,110,0,110,2025-07-22
Type Dangerous,Mariah Carey,14,0,14,2025-07-22
Beautiful Things,Benson Boone,551,0,551,2025-07-22
What It Sounds Like,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",32,0,32,2025-07-22
Survive,Lewis Capaldi,26,0,26,2025-07-22
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",31,0,31,2025-07-22
Mystical Magical,Benson Boone,89,0,89,2025-07-22
Pink Pony Club,Chappell Roan,366,0,366,2025-07-22
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",32,0,32,2025-07-22
Bad Dreams,Teddy Swims,313,0,313,2025-07-22
Eternity,Alex Warren,5,0,5,2025-07-22
How It’s Done,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",32,0,32,2025-07-22
Ring Ring Ring,"Tyler, The Creator",1,0,1,2025-07-22
Manchild,Sabrina Carpenter,47,0,47,2025-07-22
A Bar Song,Shaboozey,467,0,467,2025-07-22
Lose Control,Teddy Swims,744,0,744,2025-07-22
Punkrocker,Teddybears,11,0,11,2025-07-22
BIRDS OF A FEATHER,Billie Eilish,432,0,432,2025-07-22
End of the World,Miley Cyrus,110,0,110,2025-07-22
Viva la Vida,Coldplay,1798,0,1798,2025-07-22
Takedown,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",31,0,31,2025-07-22
The Glen,Levi Heron,74,0,74,2025-07-22
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",95,0,95,2025-07-22
The Door,Teddy Swims,550,0,550,2025-07-22
Blessings,Calvin Harris & Clementine Douglas,75,0,75,2025-07-22
Anxiety,Doechii,140,0,140,2025-07-22
Pretty Little Baby,Connie Francis,71,0,71,2025-07-22
