song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",54,0,54,2025-09-22
Ordinary,Alex Warren,228,0,228,2025-09-22
The Dead Dance,Lady Gaga,20,0,20,2025-09-22
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",94,0,94,2025-09-22
My Only Angel,Aerosmith & YUNGBLUD,4,0,4,2025-09-22
Sapphire,Ed Sheeran,109,0,109,2025-09-22
No Broke Boys,Disco Lines & Tinashe,94,0,94,2025-09-22
Something In The Heavens,Lewis Capaldi,4,0,4,2025-09-22
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",60,0,60,2025-09-22
Man I Need,Olivia Dean,38,0,38,2025-09-22
APT.,ROSÉ & Bruno Mars,340,0,340,2025-09-22
Die With A Smile,Lady Gaga & Bruno Mars,403,0,403,2025-09-22
Messy,Lola Young,307,0,307,2025-09-22
WHERE IS MY HUSBAND,RAYE,4,0,4,2025-09-22
Secrets,Miley Cyrus,4,0,4,2025-09-22
September,"Earth, Wind & Fire",114,0,114,2025-09-22
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",93,0,93,2025-09-22
JUMP,BLACKPINK,74,0,74,2025-09-22
Azizam,Ed Sheeran,172,0,172,2025-09-22
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",94,0,94,2025-09-22
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",59,0,59,2025-09-22
Survive,Lewis Capaldi,88,0,88,2025-09-22
Gratitude,Brandon Lake,14,0,14,2025-09-22
DAISIES,Justin Bieber,74,0,74,2025-09-22
Who Are You,SUHO,1,0,1,2025-09-22
Bad Dreams,Teddy Swims,375,0,375,2025-09-22
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",60,0,60,2025-09-22
Pink Pony Club,Chappell Roan,428,0,428,2025-09-22
Beautiful Things,Benson Boone,613,0,613,2025-09-22
Lose Control,Teddy Swims,806,0,806,2025-09-22
Holy Forever,Chris Tomlin,1,0,1,2025-09-22
BIRDS OF A FEATHER,Billie Eilish,494,0,494,2025-09-22
