song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",94,0,94,2025-11-01
The Fate of Ophelia,Taylor Swift,23,0,23,2025-11-01
Ordinary,Alex Warren,268,0,268,2025-11-01
Thriller,Michael Jackson,133,0,133,2025-11-01
Berghain,"ROSALÍA, Björk & Yves Tumor",5,0,5,2025-11-01
Opalite,Taylor Swift,9,0,9,2025-11-01
The Dead Dance,Lady Gaga,60,0,60,2025-11-01
Angel,Mariah Carey,4,0,4,2025-11-01
Man I Need,Olivia Dean,78,0,78,2025-11-01
Confetti,Demi Lovato,2,0,2,2025-11-01
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",134,0,134,2025-11-01
Die With A Smile,Lady Gaga & Bruno Mars,443,0,443,2025-11-01
Ghostbusters,Ray Parker Jr.,77,0,77,2025-11-01
Sapphire,Ed Sheeran,149,0,149,2025-11-01
No Broke Boys,Disco Lines & Tinashe,134,0,134,2025-11-01
TANZNEID,Electric Callboy,2,0,2,2025-11-01
WHERE IS MY HUSBAND,RAYE,44,0,44,2025-11-01
Bohemian Rhapsody,Queen,716,0,716,2025-11-01
Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",53,0,53,2025-11-01
Beautiful Things,Benson Boone,653,0,653,2025-11-01
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",23,0,23,2025-11-01
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",100,0,100,2025-11-01
This Is Halloween,The Citizens of Halloween,50,0,50,2025-11-01
What's Up,4 Non Blondes,98,0,98,2025-11-01
Lose Control,Teddy Swims,846,0,846,2025-11-01
Abracadabra,Lady Gaga,272,0,272,2025-11-01
Halloween Theme,"John Carpenter, Cody Carpenter & Daniel Davies",15,0,15,2025-11-01
Pink Pony Club,Chappell Roan,468,0,468,2025-11-01
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",133,0,133,2025-11-01
So Easy,Olivia Dean,24,0,24,2025-11-01
APT.,ROSÉ & Bruno Mars,380,0,380,2025-11-01
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",134,0,134,2025-11-01
The Door,Teddy Swims,652,0,652,2025-11-01
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",100,0,100,2025-11-01
Messy,Lola Young,347,0,347,2025-11-01
Mystical Magical,Benson Boone,191,0,191,2025-11-01
Rubber Band Man,Mumford & Sons & Hozier,9,0,9,2025-11-01
Walk My Walk,Breaking Rust,12,0,12,2025-11-01
Sympathy Magic,Florence + the Machine,6,0,6,2025-11-01
Das schönste Mädchen der Welt,Sarah Connor,2,0,2,2025-11-01
All I Want for Christmas Is You,Mariah Carey,778,0,778,2025-11-01
Bury Me With My Screams,Trivium,2,0,2,2025-11-01
Nice To Meet You,Myles Smith,307,0,307,2025-11-01
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",99,0,99,2025-11-01
Bad Dreams,Teddy Swims,415,0,415,2025-11-01
Somebody's Watching Me,Rockwell,22,0,22,2025-11-01
12 to 12,sombr,83,0,83,2025-11-01
JUMP,BLACKPINK,114,0,114,2025-11-01
Gute Laune,GroßstadtEngel,21,0,21,2025-11-01
Gabriela,KATSEYE,65,0,65,2025-11-01
Azizam,Ed Sheeran,212,0,212,2025-11-01
Creepy Crawlers,Peter Criss,1,0,1,2025-11-01
An meinem Grab,Der Skyper,3,0,3,2025-11-01
Livin’ on Borrowed Time,Breaking Rust,15,0,15,2025-11-01
Der Morgen danach,Maite Kelly,16,0,16,2025-11-01
The Sound of Silence,Disturbed,1894,0,1894,2025-11-01
Soleil Bleu,Bleu Soleil & LUIZA,120,0,120,2025-11-01
undressed,sombr,173,0,173,2025-11-01
Choosin' Texas,Ella Langley,16,0,16,2025-11-01
IRIS OUT,Kenshi Yonezu,42,0,42,2025-11-01
In The End,Depeche Mode,9,0,9,2025-11-01
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",94,0,94,2025-11-01
A Bar Song,Shaboozey,569,0,569,2025-11-01
Always Remember Us This Way,Lady Gaga,2242,0,2242,2025-11-01
You Are the Reason,Calum Scott,716,0,716,2025-11-01
BIRDS OF A FEATHER,Billie Eilish,534,0,534,2025-11-01
Manchild,Sabrina Carpenter,149,0,149,2025-11-01
Gravity,"Jessica Vosk, Alex Brightman, Sam Haft & Andrew Underberg",9,0,9,2025-11-01
Camera,Ed Sheeran,50,0,50,2025-11-01
JANE DOE,Kenshi Yonezu & Hikaru Utada,36,0,36,2025-11-01
Egaogasuki,V6,1,0,1,2025-11-01
Das Glück,Kontra K,2,0,2,2025-11-01
Don't Look Back In Anger,Oasis,76,0,76,2025-11-01
Home,Glockenbach & Tom Walker,39,0,39,2025-11-01
Waterfalls,James Hype,23,0,23,2025-11-01
DAISIES,Justin Bieber,114,0,114,2025-11-01
Unstoppable,Sia,1879,0,1879,2025-11-01
"Spooky, Scary Skeletons",Andrew Gold,2,0,2,2025-11-01
Don't Tread On Me,Cain Walker,7,0,7,2025-11-01
Zombie,The Cranberries,327,0,327,2025-11-01
Wonderwall,Oasis,82,0,82,2025-11-01
Dracula,Tame Impala,22,0,22,2025-11-01
End of the World,Miley Cyrus,212,0,212,2025-11-01
Wackelkontakt,Oimara,279,0,279,2025-11-01
Freedom,Cain Walker,5,0,5,2025-11-01
Chariot,Westlife,9,0,9,2025-11-01
Run Free,Michael Patrick Kelly,8,0,8,2025-11-01
MAGIC,Ado,2,0,2,2025-11-01
NOKIA,Drake,255,0,255,2025-11-01
Creep,Radiohead,221,0,221,2025-11-01
Nice To Each Other,Olivia Dean,107,0,107,2025-11-01
The Life of a Showgirl,Taylor Swift,8,0,8,2025-11-01
SPAGHETTI,LE SSERAFIM & j-hope,9,0,9,2025-11-01
TAKE ME HIGHER,V6,1,0,1,2025-11-01
The One,Michael Patrick Kelly,42,0,42,2025-11-01
Be Mine,KAMRAD,170,0,170,2025-11-01
Left It In The River,Jamie MacDonald,26,0,26,2025-11-01
Something In The Heavens,Lewis Capaldi,44,0,44,2025-11-01
All My Haters,Tom MacDonald,1,0,1,2025-11-01
DEPRESSED,Anne-Marie,44,0,44,2025-11-01
F1,Hans Zimmer,94,0,94,2025-11-01
Zombie,YUNGBLUD,130,0,130,2025-11-01
FMP,B'z,1,0,1,2025-11-01
Don't Stop Believin',Journey,646,0,646,2025-11-01
The Day My Daddy Died,Michael Patrick Kelly & The Kelly Family,1,0,1,2025-11-01
Thunderstruck,Ac/Dc,887,0,887,2025-11-01
Pendulum,Puscifer,2,0,2,2025-11-01
Viva la Vida,Coldplay,1880,0,1880,2025-11-01
Samen,Jan Smit,2,0,2,2025-11-01
Better Me For You,Max McNown,217,0,217,2025-11-01
Pussy Palace,Lily Allen,7,0,7,2025-11-01
Champagne Supernova,Oasis,24,0,24,2025-11-01
Almost,Lewis Capaldi,9,0,9,2025-11-01
LOVE SONG,"Naoyuki Chikatani, Koji Mukai & THE TOYS",2,0,2,2025-11-01
Lügen,Michelle,2,0,2,2025-11-01
Once We Get Up There,"Christian Borle, Joel Perez, Lilli Cooper, Sam Haft & Andrew Underberg",4,0,4,2025-11-01
The Longer You Hold On,Colter Wall,2,0,2,2025-11-01
I Want You Back,BE:FIRST,6,0,6,2025-11-01
My Only Angel,Aerosmith & YUNGBLUD,44,0,44,2025-11-01
H.A.P.P.Y,Jessie J,2,0,2,2025-11-01
Mixkassettentage,Ina Müller,2,0,2,2025-11-01
Paid to Exist,brux XTN,26,0,26,2025-11-01
Hold On,Nathan Dawe & Abi Flynn,2,0,2,2025-11-01
Darling,V6,1,0,1,2025-11-01
On The Way,Aina The End,95,0,95,2025-11-01
Viens on essaie,Vitaa & Julien Doré,21,0,21,2025-11-01
Quiero Decirte,Abraham Mateo & Ana Mena,17,0,17,2025-11-01
Feel Good,Charlotte Cardin,88,0,88,2025-11-01
Un Poco Loco,Luis Ángel Gómez Jaramillo & Gael García Bernal,1,0,1,2025-11-01
Liar,Jelly Roll,340,0,340,2025-11-01
Wagamonotachiyo,Ketsumeishi,2,0,2,2025-11-01
Niemand,Suzan & Freek,10,0,10,2025-11-01
Falling in Love,Chrissy Meechan,1,0,1,2025-11-01
Wir fliegen hoch,KI Sunshine Band,2,0,2,2025-11-01
Disco Baby,Travis Japan,6,0,6,2025-11-01
"les filles, les meufs",marguerite,20,0,20,2025-11-01
Time Warp,"Little Nell, Patricia Quinn & Richard O'Brien",9,0,9,2025-11-01
Stay,Myles Smith,37,0,37,2025-11-01
Forever Young,Alphaville,280,0,280,2025-11-01
CHANGE THE WORLD,V6,1,0,1,2025-11-01
I Am Not Okay,Jelly Roll,471,0,471,2025-11-01
Weet Je,Metejoor,1,0,1,2025-11-01
Can do Can go,V6,1,0,1,2025-11-01
SPEED DEMON,Justin Bieber,23,0,23,2025-11-01
EYES CLOSED,JISOO & ZAYN,20,0,20,2025-11-01
DIAMANTI E ORO,"Gigi D'Alessio, Khaled & Jovanotti",2,0,2,2025-11-01
Ainanda,V6,1,0,1,2025-11-01
Iseijin,VAUNDY,4,0,4,2025-11-01
Voyage,Lilas,2,0,2,2025-11-01
Jar of Hearts,Christina Perri,351,0,351,2025-11-01
GO,CORTIS,26,0,26,2025-11-01
Everybody Scream,Florence + the Machine,24,0,24,2025-11-01
Divine Feelings,Vance Joy,9,0,9,2025-11-01
1991,Kenshi Yonezu,20,0,20,2025-11-01
QUE CE SOIT CLAIR,Paul Kalkbrenner & Stromae,56,0,56,2025-11-01
Wunderschön,Unheilig,49,0,49,2025-11-01
Hard road to your heart,Justefunk Funk,6,0,6,2025-11-01
Beneath Your Beautiful,Labrinth,322,0,322,2025-11-01
Fanfare,Koji Tamaki,20,0,20,2025-11-01
How Do I Say Goodbye,Dean Lewis,723,0,723,2025-11-01
In the Air Tonight,Phil Collins,152,0,152,2025-11-01
Her Nerdeysen,Xaviorthemachine,93,0,93,2025-11-01
Modern Times,MIKA,2,0,2,2025-11-01
Nie genug,AYLO,1,0,1,2025-11-01
Her Nerdeysen,Ati242,126,0,126,2025-11-01
When my spirit is weak,World hive,23,0,23,2025-11-01
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",185,0,185,2025-11-01
Malandro,Omar Rudberg,2,0,2,2025-11-01
It's Raining,Ziggy in tha House,28,0,28,2025-11-01
Eye of the Tiger,Survivor,219,0,219,2025-11-01
I'm On Fire,Bruce Springsteen,8,0,8,2025-11-01
LOVER GIRL,Megan Thee Stallion,9,0,9,2025-11-01
Feel your breeze,V6,1,0,1,2025-11-01
Tant pis pour elle,Charlotte Cardin,20,0,20,2025-11-01
(Don't Fear) The Reaper,Blue Öyster Cult,1,0,1,2025-11-01
Dancing2,Keli Holiday,77,0,77,2025-11-01
I,BUMP OF CHICKEN,19,0,19,2025-11-01
Bam Bam,"Dimitri Vegas & Like Mike, Gabry Ponte, Banfy & Sheridan",1,0,1,2025-11-01
Intro,The xx,9,0,9,2025-11-01
Succession,Nicholas Britell,74,0,74,2025-11-01
Africa,Toto,36,0,36,2025-11-01
Liebeskummer,Marc Eggers & Pietro Lombardi,2,0,2,2025-11-01
November Rain,Guns N' Roses,13,0,13,2025-11-01
The Glen,Levi Heron,154,0,154,2025-11-01
MUSIC FOR THE PEOPLE,V6,1,0,1,2025-11-01
Piazza San Marco,Annalisa,30,0,30,2025-11-01
Love The Way You Lie,IAXMUSIC,4,0,4,2025-11-01
Hyper Body,Parov Stelar,2,0,2,2025-11-01
Baila de Gasolina,Effe Serieus,124,0,124,2025-11-01
Believe Your Smile,V6,1,0,1,2025-11-01
Thneedville,"Fletcher Sheridan, Antonio Sol, Beth Anderson, Oliver Powell, Edie Lehmann Boddicker, MIssi Hale & Rob Riggle",8,0,8,2025-11-01
Enter Sandman,Metallica,131,0,131,2025-11-01
"Good Luck, Babe",Chappell Roan,438,0,438,2025-11-01
VERLIEBT IN MICH,FAYAN & Dalton,34,0,34,2025-11-01
GOOD DAY,Mrs. GREEN APPLE,35,0,35,2025-11-01
Happen To Me,Russell Dickerson,8,0,8,2025-11-01
Folded,Kehlani,49,0,49,2025-11-01
Iris,The Goo Goo Dolls,329,0,329,2025-11-01
Elizabeth Taylor,Taylor Swift,8,0,8,2025-11-01
Demons,Imagine Dragons,801,0,801,2025-11-01
