song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
"Mama, I'm Coming Home",Ozzy Osbourne,12,0,12,2025-07-24
Paranoid,Black Sabbath,14,0,14,2025-07-24
Golden,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",34,0,34,2025-07-24
Dreamer,Ozzy Osbourne,5,0,5,2025-07-24
Ordinary,Alex Warren,168,0,168,2025-07-24
Crazy Train,Ozzy Osbourne,7,0,7,2025-07-24
Iron Man,Black Sabbath,6,0,6,2025-07-24
Changes,Black Sabbath,6,0,6,2025-07-24
Changes,"YUNGBLUD, Nuno Bettencourt & Frank Bello",6,0,6,2025-07-24
War Pigs,Black Sabbath,5,0,5,2025-07-24
JUMP,BLACKPINK,14,0,14,2025-07-24
No More Tears,Ozzy Osbourne,7,0,7,2025-07-24
Sapphire,Ed Sheeran,49,0,49,2025-07-24
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",34,0,34,2025-07-24
DAISIES,Justin Bieber,14,0,14,2025-07-24
Messy,Lola Young,247,0,247,2025-07-24
Ring Ring Ring,"Tyler, The Creator",3,0,3,2025-07-24
APT.,ROSÉ & Bruno Mars,280,0,280,2025-07-24
Azizam,Ed Sheeran,112,0,112,2025-07-24
Die With A Smile,Lady Gaga & Bruno Mars,343,0,343,2025-07-24
What It Sounds Like,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",34,0,34,2025-07-24
Mr. Crowley,Ozzy Osbourne,5,0,5,2025-07-24
Beautiful Things,Benson Boone,553,0,553,2025-07-24
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",33,0,33,2025-07-24
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",34,0,34,2025-07-24
Zombie,YUNGBLUD,53,0,53,2025-07-24
Close My Eyes Forever,Lita Ford & Ozzy Osbourne,2,0,2,2025-07-24
Lose Control,Teddy Swims,746,0,746,2025-07-24
Survive,Lewis Capaldi,28,0,28,2025-07-24
BIRDS OF A FEATHER,Billie Eilish,434,0,434,2025-07-24
Beautiful Strangers,TOMORROW X TOGETHER,4,0,4,2025-07-24
