song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Ordinary,Alex Warren,146,0,146,2025-07-02
Sapphire,Ed Sheeran,27,0,27,2025-07-02
Survive,Lewis Capaldi,6,0,6,2025-07-02
APT.,ROSÉ & Bruno Mars,258,0,258,2025-07-02
Golden,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",12,0,12,2025-07-02
Messy,Lola Young,225,0,225,2025-07-02
Die With A Smile,Lady Gaga & Bruno Mars,321,0,321,2025-07-02
Azizam,Ed Sheeran,90,0,90,2025-07-02
Someone You Loved,Lewis Capaldi,1364,0,1364,2025-07-02
Beautiful Things,Benson Boone,531,0,531,2025-07-02
What It Sounds Like,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",12,0,12,2025-07-02
Anxiety,Doechii,120,0,120,2025-07-02
Pink Pony Club,Chappell Roan,346,0,346,2025-07-02
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",11,0,11,2025-07-02
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",12,0,12,2025-07-02
Bad Dreams,Teddy Swims,293,0,293,2025-07-02
BIRDS OF A FEATHER,Billie Eilish,412,0,412,2025-07-02
On My Mind,Alex Warren & ROSÉ,6,0,6,2025-07-02
Lose My Mind,Don Toliver,8,0,8,2025-07-02
A Bar Song,Shaboozey,447,0,447,2025-07-02
Abracadabra,Lady Gaga,150,0,150,2025-07-02
End of the World,Miley Cyrus,90,0,90,2025-07-02
Lose Control,Teddy Swims,724,0,724,2025-07-02
How It’s Done,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",12,0,12,2025-07-02
Mystical Magical,Benson Boone,69,0,69,2025-07-02
F1,Hans Zimmer,4,0,4,2025-07-02
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",75,0,75,2025-07-02
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",12,0,12,2025-07-02
Blessings,Calvin Harris & Clementine Douglas,55,0,55,2025-07-02
Espresso Macchiato,Tommy Cash,61,0,61,2025-07-02
The Glen,Levi Heron,54,0,54,2025-07-02
The Sound of Silence,Disturbed,1772,0,1772,2025-07-02
NOKIA,Drake,138,0,138,2025-07-02
HOT SAUCE,BABYMONSTER,2,0,2,2025-07-02
The Door,Teddy Swims,530,0,530,2025-07-02
Drive,Ed Sheeran,13,0,13,2025-07-02
Just Keep Watching,Tate McRae,34,0,34,2025-07-02
Hey Hi Hello,Alison Goldfrapp,1,0,1,2025-07-02
Dame Un Grrr,Fantomel & KATE LINN,12,0,12,2025-07-02
Manchild,Sabrina Carpenter,27,0,27,2025-07-02
Dirty Work,aespa,6,0,6,2025-07-02
Beautiful People,David Guetta & Sia,118,0,118,2025-07-02
Jump Rope Song,Jung Jae Il,4,0,4,2025-07-02
Thunderstruck,Ac/Dc,766,0,766,2025-07-02
Bloodline,Alex Warren & Jelly Roll,22,0,22,2025-07-02
Victory Lap,"Fred again.., Skepta & PlaqueBoyMax",15,0,15,2025-07-02
Si Antes Te Hubiera Conocido,KAROL G,377,0,377,2025-07-02
Remember My Name,Sons of Legion,14,0,14,2025-07-02
Old Phone,Ed Sheeran,62,0,62,2025-07-02
The Power Of Love,Blasterjaxx,27,0,27,2025-07-02
Nice To Meet You,Myles Smith,237,0,237,2025-07-02
Power,Sons of Legion,16,0,16,2025-07-02
Takedown,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",11,0,11,2025-07-02
Good News,Shaboozey,230,0,230,2025-07-02
Sorry I'm Here For Someone Else,Benson Boone,125,0,125,2025-07-02
Streets of London,Zach Bryan,1,0,1,2025-07-02
Carry You Home,Alex Warren,342,0,342,2025-07-02
Show Me Love,WizTheMc & bees & honey,102,0,102,2025-07-02
