song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
The Fate of Ophelia,Taylor Swift,20,0,20,2025-10-29
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",91,0,91,2025-10-29
Berghain,"ROSALÍA, Björk & Yves Tumor",2,0,2,2025-10-29
Opalite,Taylor Swift,6,0,6,2025-10-29
Ordinary,Alex Warren,265,0,265,2025-10-29
Man I Need,Olivia Dean,75,0,75,2025-10-29
Sympathy Magic,Florence + the Machine,3,0,3,2025-10-29
Once We Get Up There,"Christian Borle, Joel Perez, Lilli Cooper, Sam Haft & Andrew Underberg",1,0,1,2025-10-29
The Dead Dance,Lady Gaga,57,0,57,2025-10-29
WHERE IS MY HUSBAND,RAYE,41,0,41,2025-10-29
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",131,0,131,2025-10-29
Die With A Smile,Lady Gaga & Bruno Mars,440,0,440,2025-10-29
Thriller,Michael Jackson,130,0,130,2025-10-29
Sapphire,Ed Sheeran,146,0,146,2025-10-29
Lose Control,Teddy Swims,843,0,843,2025-10-29
No Broke Boys,Disco Lines & Tinashe,131,0,131,2025-10-29
So Easy,Olivia Dean,21,0,21,2025-10-29
Beautiful Things,Benson Boone,650,0,650,2025-10-29
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",20,0,20,2025-10-29
Thneedville,"Fletcher Sheridan, Antonio Sol, Beth Anderson, Oliver Powell, Edie Lehmann Boddicker, MIssi Hale & Rob Riggle",5,0,5,2025-10-29
APT.,ROSÉ & Bruno Mars,377,0,377,2025-10-29
Bad Dreams,Teddy Swims,412,0,412,2025-10-29
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",97,0,97,2025-10-29
The Door,Teddy Swims,649,0,649,2025-10-29
Messy,Lola Young,344,0,344,2025-10-29
12 to 12,sombr,80,0,80,2025-10-29
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",96,0,96,2025-10-29
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",97,0,97,2025-10-29
Abracadabra,Lady Gaga,269,0,269,2025-10-29
SPAGHETTI,LE SSERAFIM & j-hope,6,0,6,2025-10-29
Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",50,0,50,2025-10-29
Ghostbusters,Ray Parker Jr.,74,0,74,2025-10-29
Pink Pony Club,Chappell Roan,465,0,465,2025-10-29
Back to Life,&TEAM,3,0,3,2025-10-29
In Another World,EJAE,6,0,6,2025-10-29
In The End,Depeche Mode,6,0,6,2025-10-29
Walk My Walk,Breaking Rust,9,0,9,2025-10-29
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",131,0,131,2025-10-29
A Bar Song,Shaboozey,566,0,566,2025-10-29
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",130,0,130,2025-10-29
Almost,Lewis Capaldi,6,0,6,2025-10-29
Livin’ on Borrowed Time,Breaking Rust,12,0,12,2025-10-29
Rubber Band Man,Mumford & Sons & Hozier,6,0,6,2025-10-29
What's Up,4 Non Blondes,95,0,95,2025-10-29
IRIS OUT,Kenshi Yonezu,40,0,40,2025-10-29
Soleil Bleu,Bleu Soleil & LUIZA,117,0,117,2025-10-29
Always Remember Us This Way,Lady Gaga,2239,0,2239,2025-10-29
It's Raining,Ziggy in tha House,25,0,25,2025-10-29
The Sound of Silence,Disturbed,1891,0,1891,2025-10-29
undressed,sombr,170,0,170,2025-10-29
Zombie,YUNGBLUD,127,0,127,2025-10-29
JUMP,BLACKPINK,111,0,111,2025-10-29
Azizam,Ed Sheeran,209,0,209,2025-10-29
Weightless,Marconi Union,21,0,21,2025-10-29
Don't Tread On Me,Cain Walker,4,0,4,2025-10-29
Paid to Exist,brux XTN,23,0,23,2025-10-29
The Life of a Showgirl,Taylor Swift,5,0,5,2025-10-29
Gute Laune,GroßstadtEngel,18,0,18,2025-10-29
JANE DOE,Kenshi Yonezu & Hikaru Utada,33,0,33,2025-10-29
You Are the Reason,Calum Scott,713,0,713,2025-10-29
Der Morgen danach,Maite Kelly,13,0,13,2025-10-29
Elizabeth Taylor,Taylor Swift,5,0,5,2025-10-29
DAISIES,Justin Bieber,111,0,111,2025-10-29
Dying To Love,Bad Omens,7,0,7,2025-10-29
Chariot,Westlife,6,0,6,2025-10-29
Choosin' Texas,Ella Langley,13,0,13,2025-10-29
I'm Gonna Love You Through It,Martina McBride,2,0,2,2025-10-29
Mystical Magical,Benson Boone,188,0,188,2025-10-29
Don't Stop Believin',Journey,643,0,643,2025-10-29
The One,Michael Patrick Kelly,39,0,39,2025-10-29
I Am Not Okay,Jelly Roll,468,0,468,2025-10-29
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",91,0,91,2025-10-29
In the Air Tonight,Phil Collins,150,0,150,2025-10-29
Quiero Decirte,Abraham Mateo & Ana Mena,14,0,14,2025-10-29
Gabriela,KATSEYE,62,0,62,2025-10-29
Wi$h Li$t,Taylor Swift,5,0,5,2025-10-29
Everybody Scream,Florence + the Machine,21,0,21,2025-10-29
DEPRESSED,Anne-Marie,41,0,41,2025-10-29
Sarà perché ti amo,Ricchi & Poveri,596,0,596,2025-10-29
Father Figure,Taylor Swift,5,0,5,2025-10-29
Disco Baby,Travis Japan,3,0,3,2025-10-29
When my spirit is weak,World hive,20,0,20,2025-10-29
I'm On Fire,Bruce Springsteen,7,0,7,2025-10-29
Eternity,Alex Warren,104,0,104,2025-10-29
Bohemian Rhapsody,Queen,713,0,713,2025-10-29
Iris,The Goo Goo Dolls,326,0,326,2025-10-29
Love Me Like You Do,Ellie Goulding,2027,0,2027,2025-10-29
back to friends,sombr,96,0,96,2025-10-29
Thneedville,The Lorax Singers,5,0,5,2025-10-29
SPAGHETTI,LE SSERAFIM,6,0,6,2025-10-29
Manchild,Sabrina Carpenter,146,0,146,2025-10-29
Something In The Heavens,Lewis Capaldi,41,0,41,2025-10-29
Survive,Lewis Capaldi,125,0,125,2025-10-29
One Of The Greats,Florence + the Machine,7,0,7,2025-10-29
My Only Angel,Aerosmith & YUNGBLUD,41,0,41,2025-10-29
A Thousand Years,Christina Perri,2553,0,2553,2025-10-29
End of the World,Miley Cyrus,209,0,209,2025-10-29
Tant pis pour elle,Charlotte Cardin,17,0,17,2025-10-29
Perfect,Ed Sheeran,2982,0,2982,2025-10-29
I Want You Back,BE:FIRST,3,0,3,2025-10-29
Niemand,Suzan & Freek,7,0,7,2025-10-29
Talk to You,Sam Fender & Elton John,11,0,11,2025-10-29
I'm Not There For You,Jessie Murph,6,0,6,2025-10-29
Don't Dream It's Over,Crowded House,46,0,46,2025-10-29
Iseijin,VAUNDY,1,0,1,2025-10-29
VERLIEBT IN MICH,FAYAN & Dalton,32,0,32,2025-10-29
Nice To Each Other,Olivia Dean,104,0,104,2025-10-29
Halloween Theme,"John Carpenter, Cody Carpenter & Daniel Davies",12,0,12,2025-10-29
Home,Glockenbach & Tom Walker,36,0,36,2025-10-29
Hard road to your heart,Justefunk Funk,3,0,3,2025-10-29
Fanfare,Koji Tamaki,17,0,17,2025-10-29
WE GO UP,BABYMONSTER,20,0,20,2025-10-29
Eye of the Tiger,Survivor,217,0,217,2025-10-29
Stay Strong,BE:FIRST,1,0,1,2025-10-29
Left It In The River,Jamie MacDonald,23,0,23,2025-10-29
BIRDS OF A FEATHER,Billie Eilish,531,0,531,2025-10-29
Stay,Myles Smith,34,0,34,2025-10-29
1991,Kenshi Yonezu,17,0,17,2025-10-29
This Is Halloween,The Citizens of Halloween,47,0,47,2025-10-29
Dancing In the Dark,Bruce Springsteen,10,0,10,2025-10-29
Liefde In De Nacht,"Gerard Joling, Billy Dans & Afro Bros",1,0,1,2025-10-29
I Wanna Dance With Somebody,Calum Scott & Whitney Houston,42,0,42,2025-10-29
GOOD DAY,Mrs. GREEN APPLE,32,0,32,2025-10-29
Thunderstruck,Ac/Dc,884,0,884,2025-10-29
Itazurana Tenshi,Snow Man,4,0,4,2025-10-29
Wunderschön,Unheilig,46,0,46,2025-10-29
More To This,Marc Scibilia,21,0,21,2025-10-29
In The Dark,Selena Gomez,7,0,7,2025-10-29
My Answer,Ryokuoushoku Shakai,6,0,6,2025-10-29
LOVER GIRL,Megan Thee Stallion,6,0,6,2025-10-29
Amen,Shaboozey & Jelly Roll,97,0,97,2025-10-29
Beez In the Trap,Nicki Minaj,6,0,6,2025-10-29
Lose My Mind,Don Toliver,107,0,107,2025-10-29
Dancing2,Keli Holiday,74,0,74,2025-10-29
First Kiss,RIKON,6,0,6,2025-10-29
Someone You Loved,Lewis Capaldi,1474,0,1474,2025-10-29
Borderline,SHINY COLORS,4,0,4,2025-10-29
Love The Way You Lie,IAXMUSIC,1,0,1,2025-10-29
Bailando Bachata,Chayanne,103,0,103,2025-10-29
Liar,Jelly Roll,338,0,338,2025-10-29
QUE CE SOIT CLAIR,Paul Kalkbrenner & Stromae,53,0,53,2025-10-29
Folded,Kehlani,46,0,46,2025-10-29
Yukyu Never Dies,FranChouChou,1,0,1,2025-10-29
Lose Yourself,Eminem,536,0,536,2025-10-29
Somebody's Watching Me,Rockwell,19,0,19,2025-10-29
The Emptiness Machine,LINKIN PARK,342,0,342,2025-10-29
Born In the U.S.A.,Bruce Springsteen,21,0,21,2025-10-29
ONE MORE,James Johnston,6,0,6,2025-10-29
I,BUMP OF CHICKEN,16,0,16,2025-10-29
Good News,Shaboozey,342,0,342,2025-10-29
革命道中 - On The Way,アイナ・ジ・エンド,27,0,27,2025-10-29
Born Slippy,Underworld,13,0,13,2025-10-29
My Body,HANA,18,0,18,2025-10-29
The Foolproof Way to Raise a Menhera,Yurina Hirate,1,0,1,2025-10-29
A Little More,Ed Sheeran,71,0,71,2025-10-29
Tears,Sabrina Carpenter,60,0,60,2025-10-29
CHANEL,Tyla,3,0,3,2025-10-29
Waterfalls,James Hype,20,0,20,2025-10-29
Camera,Ed Sheeran,47,0,47,2025-10-29
Freedom,Cain Walker,2,0,2,2025-10-29
Confession,KIM CHAEWON & Dalpalan,12,0,12,2025-10-29
Flowers,Miley Cyrus,942,0,942,2025-10-29
Hala Madrid ...y nada más,Real Madrid,21,0,21,2025-10-29
Voulez-Vous,Star Academy,3,0,3,2025-10-29
Alamak,Rizky Febian & Adrian Khalif,12,0,12,2025-10-29
Be Mine,KAMRAD,167,0,167,2025-10-29
Pussy Palace,Lily Allen,4,0,4,2025-10-29
盛れミ・アモーレ,Juice=Juice,17,0,17,2025-10-29
Schutzengel,Florian Silbereisen & Marco Schuitmaker,11,0,11,2025-10-29
PARISIENNE,GIMS & La Mano 1.9,42,0,42,2025-10-29
Matatakusoraniakogarete,FranChouChou,1,0,1,2025-10-29
Unhappy birthday Koubun,Sakurazaka46,3,0,3,2025-10-29
Wackelkontakt,Oimara,278,0,278,2025-10-29
Sukisugite METSU,M!LK,3,0,3,2025-10-29
