song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",93,0,93,2025-10-31
The Fate of Ophelia,Taylor Swift,22,0,22,2025-10-31
Confetti,Demi Lovato,1,0,1,2025-10-31
Thriller,Michael Jackson,132,0,132,2025-10-31
Berghain,"ROSALÍA, Björk & Yves Tumor",4,0,4,2025-10-31
Ordinary,Alex Warren,267,0,267,2025-10-31
Opalite,Taylor Swift,8,0,8,2025-10-31
Man I Need,Olivia Dean,77,0,77,2025-10-31
The Dead Dance,Lady Gaga,59,0,59,2025-10-31
Ghostbusters,Ray Parker Jr.,76,0,76,2025-10-31
Angel,Mariah Carey,3,0,3,2025-10-31
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",133,0,133,2025-10-31
WHERE IS MY HUSBAND,RAYE,43,0,43,2025-10-31
Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers",52,0,52,2025-10-31
This Is Halloween,The Citizens of Halloween,49,0,49,2025-10-31
Die With A Smile,Lady Gaga & Bruno Mars,442,0,442,2025-10-31
Lose Control,Teddy Swims,845,0,845,2025-10-31
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",22,0,22,2025-10-31
No Broke Boys,Disco Lines & Tinashe,133,0,133,2025-10-31
Halloween Theme,"John Carpenter, Cody Carpenter & Daniel Davies",14,0,14,2025-10-31
Sapphire,Ed Sheeran,148,0,148,2025-10-31
The Door,Teddy Swims,651,0,651,2025-10-31
Bury Me With My Screams,Trivium,1,0,1,2025-10-31
Bohemian Rhapsody,Queen,715,0,715,2025-10-31
What's Up,4 Non Blondes,97,0,97,2025-10-31
TANZNEID,Electric Callboy,1,0,1,2025-10-31
SPAGHETTI,LE SSERAFIM & j-hope,8,0,8,2025-10-31
Abracadabra,Lady Gaga,271,0,271,2025-10-31
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",132,0,132,2025-10-31
APT.,ROSÉ & Bruno Mars,379,0,379,2025-10-31
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",99,0,99,2025-10-31
Beautiful Things,Benson Boone,652,0,652,2025-10-31
Messy,Lola Young,346,0,346,2025-10-31
Sympathy Magic,Florence + the Machine,5,0,5,2025-10-31
JUMP,BLACKPINK,113,0,113,2025-10-31
Rubber Band Man,Mumford & Sons & Hozier,8,0,8,2025-10-31
Walk My Walk,Breaking Rust,11,0,11,2025-10-31
So Easy,Olivia Dean,23,0,23,2025-10-31
Bad Dreams,Teddy Swims,414,0,414,2025-10-31
Pink Pony Club,Chappell Roan,467,0,467,2025-10-31
BIRDS OF A FEATHER,Billie Eilish,533,0,533,2025-10-31
Das schönste Mädchen der Welt,Sarah Connor,1,0,1,2025-10-31
Somebody's Watching Me,Rockwell,21,0,21,2025-10-31
Livin’ on Borrowed Time,Breaking Rust,14,0,14,2025-10-31
undressed,sombr,172,0,172,2025-10-31
Nice To Meet You,Myles Smith,306,0,306,2025-10-31
12 to 12,sombr,82,0,82,2025-10-31
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",133,0,133,2025-10-31
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",93,0,93,2025-10-31
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",99,0,99,2025-10-31
Once We Get Up There,"Christian Borle, Joel Perez, Lilli Cooper, Sam Haft & Andrew Underberg",3,0,3,2025-10-31
Gravity,"Jessica Vosk, Alex Brightman, Sam Haft & Andrew Underberg",8,0,8,2025-10-31
Der Morgen danach,Maite Kelly,15,0,15,2025-10-31
IRIS OUT,Kenshi Yonezu,41,0,41,2025-10-31
An meinem Grab,Der Skyper,2,0,2,2025-10-31
End of the World,Miley Cyrus,211,0,211,2025-10-31
Malandro,Omar Rudberg,1,0,1,2025-10-31
The Sound of Silence,Disturbed,1893,0,1893,2025-10-31
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",98,0,98,2025-10-31
