song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",10,0,10,2025-08-04
Ordinary,Alex Warren,179,0,179,2025-08-04
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",45,0,45,2025-08-04
Sapphire,Ed Sheeran,60,0,60,2025-08-04
The Subway,Chappell Roan,4,0,4,2025-08-04
APT.,ROSÉ & Bruno Mars,291,0,291,2025-08-04
Azizam,Ed Sheeran,123,0,123,2025-08-04
JUMP,BLACKPINK,25,0,25,2025-08-04
Messy,Lola Young,258,0,258,2025-08-04
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",11,0,11,2025-08-04
Dreamer,Ozzy Osbourne,16,0,16,2025-08-04
Die With A Smile,Lady Gaga & Bruno Mars,354,0,354,2025-08-04
DAISIES,Justin Bieber,25,0,25,2025-08-04
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",44,0,44,2025-08-04
"Mama, I'm Coming Home",Ozzy Osbourne,23,0,23,2025-08-04
Beautiful Things,Benson Boone,564,0,564,2025-08-04
Ring Ring Ring,"Tyler, The Creator",14,0,14,2025-08-04
Crazy Train,Ozzy Osbourne,18,0,18,2025-08-04
Paranoid,Black Sabbath,25,0,25,2025-08-04
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",45,0,45,2025-08-04
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",11,0,11,2025-08-04
Pink Pony Club,Chappell Roan,379,0,379,2025-08-04
No More Tears,Ozzy Osbourne,18,0,18,2025-08-04
Bad Dreams,Teddy Swims,326,0,326,2025-08-04
Survive,Lewis Capaldi,39,0,39,2025-08-04
BIRDS OF A FEATHER,Billie Eilish,445,0,445,2025-08-04
End of the World,Miley Cyrus,123,0,123,2025-08-04
Blessings,Calvin Harris & Clementine Douglas,88,0,88,2025-08-04
Lose Control,Teddy Swims,757,0,757,2025-08-04
Mystical Magical,Benson Boone,102,0,102,2025-08-04
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",10,0,10,2025-08-04
Abracadabra,Lady Gaga,183,0,183,2025-08-04
Changes,Black Sabbath,17,0,17,2025-08-04
The Sound of Silence,Disturbed,1805,0,1805,2025-08-04
Better Me For You,Max McNown,132,0,132,2025-08-04
A Bar Song,Shaboozey,480,0,480,2025-08-04
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",108,0,108,2025-08-04
Espresso Macchiato,Tommy Cash,94,0,94,2025-08-04
Fast,Demi Lovato,4,0,4,2025-08-04
Anxiety,Doechii,153,0,153,2025-08-04
Manchild,Sabrina Carpenter,60,0,60,2025-08-04
Show Me Love,WizTheMc & bees & honey,135,0,135,2025-08-04
No Broke Boys,Disco Lines & Tinashe,45,0,45,2025-08-04
Love Me Not,Ravyn Lenae,69,0,69,2025-08-04
Zombie,YUNGBLUD,64,0,64,2025-08-04
The Door,Teddy Swims,563,0,563,2025-08-04
Eternity,Alex Warren,18,0,18,2025-08-04
Thunderstruck,Ac/Dc,799,0,799,2025-08-04
Beautiful People,David Guetta & Sia,151,0,151,2025-08-04
Changes,"YUNGBLUD, Nuno Bettencourt & Frank Bello",17,0,17,2025-08-04
Old Phone,Ed Sheeran,95,0,95,2025-08-04
Stargazing,Myles Smith,452,0,452,2025-08-04
NOKIA,Drake,171,0,171,2025-08-04
Always Remember Us This Way,Lady Gaga,2153,0,2153,2025-08-04
The Glen,Levi Heron,87,0,87,2025-08-04
undressed,sombr,84,0,84,2025-08-04
It Depends,Chris Brown,11,0,11,2025-08-04
The New Thing Dies,Ray Bull,16,0,16,2025-08-04
Be Mine,KAMRAD,81,0,81,2025-08-04
I Adore You,"HUGEL, Topic & Arash",362,0,362,2025-08-04
LEMONADE,Forrest Frank & The Figs,4,0,4,2025-08-04
The First Time,Damiano David,22,0,22,2025-08-04
Just Keep Watching,Tate McRae,67,0,67,2025-08-04
Love Like This,Fujii Kaze,4,0,4,2025-08-04
Saiyaara,"Tanishk Bagchi, Faheem Abdullah, Arslan Nizami & Irshad Kamil",15,0,15,2025-08-04
Si Antes Te Hubiera Conocido,KAROL G,410,0,410,2025-08-04
Nice To Meet You,Myles Smith,270,0,270,2025-08-04
august,Taylor Swift,66,0,66,2025-08-04
Dior,MK,50,0,50,2025-08-04
Dame Un Grrr,Fantomel & KATE LINN,45,0,45,2025-08-04
Good News,Shaboozey,263,0,263,2025-08-04
Soleil Bleu,Bleu Soleil & LUIZA,31,0,31,2025-08-04
A Thousand Years,Christina Perri,2472,0,2472,2025-08-04
Don't Look Back In Anger,Oasis,53,0,53,2025-08-04
Unstoppable,Sia,1803,0,1803,2025-08-04
F1,Hans Zimmer,37,0,37,2025-08-04
Perfect,Ed Sheeran,2934,0,2934,2025-08-04
Next Summer,Damiano David,152,0,152,2025-08-04
TAKEDOWN,TWICE,39,0,39,2025-08-04
Sorry I'm Here For Someone Else,Benson Boone,158,0,158,2025-08-04
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",6,0,6,2025-08-04
Bloodline,Alex Warren & Jelly Roll,55,0,55,2025-08-04
Lose My Mind,Don Toliver,41,0,41,2025-08-04
Gianna,Pietro Basile,104,0,104,2025-08-04
Hausparty,RIAN,30,0,30,2025-08-04
YOUR WAY'S BETTER,Forrest Frank,95,0,95,2025-08-04
Demons,Imagine Dragons,795,0,795,2025-08-04
Changes,Kelly Osbourne & Ozzy Osbourne,13,0,13,2025-08-04
Shine in the Cruel Night,LiSA,17,0,17,2025-08-04
Wonderwall,Oasis,58,0,58,2025-08-04
Born With a Broken Heart,Damiano David,241,0,241,2025-08-04
Charger,TRIANGLE DES BERMUDES,14,0,14,2025-08-04
What I Want,Morgan Wallen & Tate McRae,79,0,79,2025-08-04
Forever Young,Alphaville,265,0,265,2025-08-04
Beautiful Strangers,TOMORROW X TOGETHER,12,0,12,2025-08-04
Iron Man,Black Sabbath,17,0,17,2025-08-04
Back in the Saddle,Luke Combs,11,0,11,2025-08-04
Euphoria: Der Traum,Schiller,4,0,4,2025-08-04
A World Where the Sun Never Rises,Aimer,13,0,13,2025-08-04
Succession,Nicholas Britell,16,0,16,2025-08-04
New Heart,Crash Adams,17,0,17,2025-08-04
While I Got Time,Jessica Mauboy,4,0,4,2025-08-04
Dress You Up,Madonna,4,0,4,2025-08-04
Baila de Gasolina,Effe Serieus,50,0,50,2025-08-04
The End,N.Jay,3,0,3,2025-08-04
YUKON,Justin Bieber,3,0,3,2025-08-04
Unrequited Love,TAKUMI OZAKI & KYOSUKE FUJIMAKI (INI),1,0,1,2025-08-04
Right Here Waiting,Richard Marx,15,0,15,2025-08-04
On The Way,Aina The End,27,0,27,2025-08-04
I Know,King & Prince,4,0,4,2025-08-04
War Pigs,Black Sabbath,16,0,16,2025-08-04
"Good Luck, Babe",Chappell Roan,398,0,398,2025-08-04
Believer,Imagine Dragons,2368,0,2368,2025-08-04
Vaitimbora,Trinix & Mariana Froes,42,0,42,2025-08-04
SERIOUS,Snow Man,4,0,4,2025-08-04
Viva la Vida,Coldplay,1810,0,1810,2025-08-04
Carry You Home,Alex Warren,371,0,371,2025-08-04
I Am Not Okay,Jelly Roll,391,0,391,2025-08-04
Punkrocker,Teddybears,23,0,23,2025-08-04
Magic Hour,Richard Marx,1,0,1,2025-08-04
Yellow,Coldplay,287,0,287,2025-08-04
Wackelkontakt,Oimara,200,0,200,2025-08-04
The Unveiling,back number,3,0,3,2025-08-04
A Lot More Free,Max McNown,262,0,262,2025-08-04
Bottle Rockets,Scotty McCreery,40,0,40,2025-08-04
Someone You Loved,Lewis Capaldi,1397,0,1397,2025-08-04
Bottomland,HARDY,4,0,4,2025-08-04
Subarashisekai,神山羊×YOSUKE from SPYAIR,1,0,1,2025-08-04
Sports car,Tate McRae,124,0,124,2025-08-04
Killin' It Girl,j-hope & GloRilla,37,0,37,2025-08-04
Sarà perché ti amo,Ricchi & Poveri,533,0,533,2025-08-04
What An Awesome God,Phil Wickham,59,0,59,2025-08-04
God Is a Weapon,Falling In Reverse,34,0,34,2025-08-04
What We Got ～奇跡はきみと～,King & Prince,4,0,4,2025-08-04
Jumping Machine,LBI,135,0,135,2025-08-04
Don't Stop Believin',Journey,558,0,558,2025-08-04
Flowers,Miley Cyrus,900,0,900,2025-08-04
Waste No Time,XngHan&Xoul,5,0,5,2025-08-04
Backup Plan,Bailey Zimmerman & Luke Combs,70,0,70,2025-08-04
Espresso,Sabrina Carpenter,461,0,461,2025-08-04
Get It Done,Guy Sebastian,7,0,7,2025-08-04
Sweet Child o' Mine,Guns N' Roses,173,0,173,2025-08-04
Her Nerdeysen,Ati242,95,0,95,2025-08-04
Titanium,David Guetta & Sia,956,0,956,2025-08-04
Nice To Each Other,Olivia Dean,23,0,23,2025-08-04
Viajando Por El Mundo,KAROL G & Manu Chao,9,0,9,2025-08-04
Blue Jeans,HANA,23,0,23,2025-08-04
I'm The Problem,Morgan Wallen,180,0,180,2025-08-04
South Of Sanity,Zach Top,4,0,4,2025-08-04
True Believer,Hayley Williams,4,0,4,2025-08-04
DIVINE,Ave Mujica,1,0,1,2025-08-04
Love Me Back,Max McNown,84,0,84,2025-08-04
Lilac,Mrs. Green Apple,452,0,452,2025-08-04
"Sally, When The Wine Runs Out",ROLE MODEL,5,0,5,2025-08-04
Eye of the Tiger,Survivor,177,0,177,2025-08-04
Liar,Jelly Roll,298,0,298,2025-08-04
Ao To Natsu,Mrs. Green Apple,223,0,223,2025-08-04
A New Day,Sebastian Ingrosso,5,0,5,2025-08-04
Creep,Radiohead,179,0,179,2025-08-04
Hazard,Richard Marx,1,0,1,2025-08-04
Carrying Happiness,Mrs. GREEN APPLE,31,0,31,2025-08-04
Sweet Disposition,Lost Frequencies & The Temper Trap,11,0,11,2025-08-04
Zombie Lady,Damiano David,19,0,19,2025-08-04
Wonderful Life '25,Hurts & Purple Disco Machine,28,0,28,2025-08-04
Her Nerdeysen,Xaviorthemachine,48,0,48,2025-08-04
I Had Some Help,Post Malone,437,0,437,2025-08-04
Zusammen,SDP,11,0,11,2025-08-04
ROSE,HANA,107,0,107,2025-08-04
Blink Twice,Shaboozey & Myles Smith,104,0,104,2025-08-04
Love Somebody,Morgan Wallen,235,0,235,2025-08-04
back to friends,sombr,13,0,13,2025-08-04
Verano en NY,Toman,7,0,7,2025-08-04
Amen,Shaboozey & Jelly Roll,75,0,75,2025-08-04
A Sky Full of Stars,Coldplay,2566,0,2566,2025-08-04
Taiyokouro,Jun Maeda & yanaginagi,1,0,1,2025-08-04
Halt Dein Maul,"Bob Daisy, Evelyn Weigert & Tom Beck",25,0,25,2025-08-04
Wenn das Liebe ist,Nina Chuba,22,0,22,2025-08-04
Star-Mine,Hatsuboshi Gakuen & Begrazia,4,0,4,2025-08-04
Bad Habits,Ed Sheeran,517,0,517,2025-08-04
Als du gingst,Contec & Lina Maly,77,0,77,2025-08-04
Otoshi Banashi,ReGLOSS,2,0,2,2025-08-04
Crystalline Echo,TENBLANK,2,0,2,2025-08-04
Il suffira d’un signe,JLOW,3,0,3,2025-08-04
Remember My Name,Sons of Legion,44,0,44,2025-08-04
GOD'S GOT MY BACK,Forrest Frank,5,0,5,2025-08-04
saikai,VAUNDY,16,0,16,2025-08-04
Power,Sons of Legion,25,0,25,2025-08-04
Halt dein Maul,"Buddy Ogün, Bob Daisy, Evelyn Weigert & Tom Beck",6,0,6,2025-08-04
On Your Marks,Aimyon,9,0,9,2025-08-04
HOT SAUCE,BABYMONSTER,15,0,15,2025-08-04
Fire Starter,Sons of Legion,23,0,23,2025-08-04
I Want It That Way,Backstreet Boys,32,0,32,2025-08-04
That’s So True,Gracie Abrams,271,0,271,2025-08-04
Together,"David Guetta, Hypaton & Bonnie Tyler",30,0,30,2025-08-04
a me mi piace,Alfa & Manu Chao,48,0,48,2025-08-04
"It's All Over Now, Baby Blue",Bob Dylan,1,0,1,2025-08-04
DtMF,Bad Bunny,129,0,129,2025-08-04
Papasito,KAROL G,30,0,30,2025-08-04
Propose,TAKUMI OZAKI & KYOSUKE FUJIMAKI (INI),1,0,1,2025-08-04
The Emptiness Machine,LINKIN PARK,315,0,315,2025-08-04
