song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",46,0,46,2025-09-14
Ordinary,Alex Warren,220,0,220,2025-09-14
The Dead Dance,Lady Gaga,12,0,12,2025-09-14
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",86,0,86,2025-09-14
Sapphire,Ed Sheeran,101,0,101,2025-09-14
CHARLIE,Tom MacDonald,3,0,3,2025-09-14
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",52,0,52,2025-09-14
JUMP,BLACKPINK,66,0,66,2025-09-14
I Wanna Dance With Somebody,Calum Scott & Whitney Houston,4,0,4,2025-09-14
Die With A Smile,Lady Gaga & Bruno Mars,395,0,395,2025-09-14
Man I Need,Olivia Dean,30,0,30,2025-09-14
Camera,Ed Sheeran,3,0,3,2025-09-14
No Broke Boys,Disco Lines & Tinashe,86,0,86,2025-09-14
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",52,0,52,2025-09-14
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",85,0,85,2025-09-14
Messy,Lola Young,299,0,299,2025-09-14
APT.,ROSÉ & Bruno Mars,332,0,332,2025-09-14
Azizam,Ed Sheeran,164,0,164,2025-09-14
Here All Night,Demi Lovato,3,0,3,2025-09-14
Abracadabra,Lady Gaga,224,0,224,2025-09-14
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",51,0,51,2025-09-14
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",86,0,86,2025-09-14
Pink Pony Club,Chappell Roan,420,0,420,2025-09-14
Making Love to Morgan Wallen,Limp Bizkit,3,0,3,2025-09-14
Lose Control,Teddy Swims,798,0,798,2025-09-14
DAISIES,Justin Bieber,66,0,66,2025-09-14
Bad Dreams,Teddy Swims,367,0,367,2025-09-14
Beautiful Things,Benson Boone,605,0,605,2025-09-14
The Door,Teddy Swims,604,0,604,2025-09-14
Better Me For You,Max McNown,173,0,173,2025-09-14
End of the World,Miley Cyrus,164,0,164,2025-09-14
Bohemian Rhapsody,Queen,688,0,688,2025-09-14
Survive,Lewis Capaldi,80,0,80,2025-09-14
Mystical Magical,Benson Boone,143,0,143,2025-09-14
Wish You Were Here,Pink Floyd,13,0,13,2025-09-14
BIRDS OF A FEATHER,Billie Eilish,486,0,486,2025-09-14
Veil,TAEMIN,2,0,2,2025-09-14
undressed,sombr,125,0,125,2025-09-14
The Happy Dictator,Gorillaz,3,0,3,2025-09-14
Tears,Sabrina Carpenter,17,0,17,2025-09-14
A Bar Song,Shaboozey,521,0,521,2025-09-14
12 to 12,sombr,35,0,35,2025-09-14
Talk to Me,"Damiano David, Tyla & Nile Rodgers",3,0,3,2025-09-14
Wunderschön,Unheilig,3,0,3,2025-09-14
Manchild,Sabrina Carpenter,101,0,101,2025-09-14
Blessings,Calvin Harris & Clementine Douglas,129,0,129,2025-09-14
The Sound of Silence,Disturbed,1846,0,1846,2025-09-14
Show Me Love,WizTheMc & bees & honey,176,0,176,2025-09-14
Hast du kurz Zeit,Wincent Weiss,3,0,3,2025-09-14
Always Remember Us This Way,Lady Gaga,2194,0,2194,2025-09-14
The Subway,Chappell Roan,45,0,45,2025-09-14
In Other Words,Ed Sheeran,3,0,3,2025-09-14
The One,Michael Patrick Kelly,17,0,17,2025-09-14
Good News,Shaboozey,304,0,304,2025-09-14
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",47,0,47,2025-09-14
Nice To Each Other,Olivia Dean,59,0,59,2025-09-14
I'm A Little Crazy,Morgan Wallen,63,0,63,2025-09-14
Run Free,Michael Patrick Kelly,3,0,3,2025-09-14
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",149,0,149,2025-09-14
On The Way,Aina The End,60,0,60,2025-09-14
Anxiety,Doechii,190,0,190,2025-09-14
Soleil Bleu,Bleu Soleil & LUIZA,72,0,72,2025-09-14
Thunderstruck,Ac/Dc,840,0,840,2025-09-14
Eternity,Alex Warren,59,0,59,2025-09-14
Shine in the Cruel Night,LiSA,54,0,54,2025-09-14
Unite The Kingdom,Rikki Doolan,3,0,3,2025-09-14
TAKEDOWN,TWICE,77,0,77,2025-09-14
How Far Does A Goodbye Go,Jason Aldean,3,0,3,2025-09-14
Ordinary,Alex Warren & Luke Combs,36,0,36,2025-09-14
The Glen,Levi Heron,127,0,127,2025-09-14
Jealous Type,Doja Cat,22,0,22,2025-09-14
A World Where the Sun Never Rises,Aimer,51,0,51,2025-09-14
Freedom,Ed Sheeran,3,0,3,2025-09-14
SHOOT,CHAEYOUNG,3,0,3,2025-09-14
Tension,Kylie Minogue,52,0,52,2025-09-14
Be Mine,KAMRAD,122,0,122,2025-09-14
LA MIA STORIA TRA LE DITA,Laura Pausini,3,0,3,2025-09-14
