song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",31,0,31,2025-08-30
Ordinary,Alex Warren,205,0,205,2025-08-30
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",71,0,71,2025-08-30
Tears,Sabrina Carpenter,2,0,2,2025-08-30
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",37,0,37,2025-08-30
Sapphire,Ed Sheeran,86,0,86,2025-08-30
"Red, White and Jersey",Bon Jovi,2,0,2,2025-08-30
JUMP,BLACKPINK,51,0,51,2025-08-30
APT.,ROSÉ & Bruno Mars,317,0,317,2025-08-30
No Broke Boys,Disco Lines & Tinashe,71,0,71,2025-08-30
Manchild,Sabrina Carpenter,86,0,86,2025-08-30
Messy,Lola Young,284,0,284,2025-08-30
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",37,0,37,2025-08-30
Die With A Smile,Lady Gaga & Bruno Mars,380,0,380,2025-08-30
Pink Pony Club,Chappell Roan,405,0,405,2025-08-30
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",71,0,71,2025-08-30
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",70,0,70,2025-08-30
Hollow Man,Bon Jovi & Bruce Springsteen,2,0,2,2025-08-30
Beautiful Things,Benson Boone,590,0,590,2025-08-30
Azizam,Ed Sheeran,149,0,149,2025-08-30
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",36,0,36,2025-08-30
DAISIES,Justin Bieber,51,0,51,2025-08-30
QUE CE SOIT CLAIR,Paul Kalkbrenner & Stromae,2,0,2,2025-08-30
Oh Very Young,Cat Stevens,2,0,2,2025-08-30
Everybody’s Looking At Me,Eminem,5,0,5,2025-08-30
Survive,Lewis Capaldi,65,0,65,2025-08-30
Man I Need,Olivia Dean,15,0,15,2025-08-30
A Bar Song,Shaboozey,506,0,506,2025-08-30
The Subway,Chappell Roan,30,0,30,2025-08-30
Bad Dreams,Teddy Swims,352,0,352,2025-08-30
BIRDS OF A FEATHER,Billie Eilish,471,0,471,2025-08-30
The Door,Teddy Swims,589,0,589,2025-08-30
Born Slippy,Underworld,1,0,1,2025-08-30
Jealous Type,Doja Cat,9,0,9,2025-08-30
Blessings,Calvin Harris & Clementine Douglas,114,0,114,2025-08-30
Lose Control,Teddy Swims,783,0,783,2025-08-30
End of the World,Miley Cyrus,149,0,149,2025-08-30
The People's House,Bon Jovi & The War And Treaty,2,0,2,2025-08-30
Always Remember Us This Way,Lady Gaga,2179,0,2179,2025-08-30
How Do I Say Goodbye,Dean Lewis,680,0,680,2025-08-30
Everybody Scream,Florence + the Machine,10,0,10,2025-08-30
Mystical Magical,Benson Boone,128,0,128,2025-08-30
undressed,sombr,110,0,110,2025-08-30
Une passerelle vers la mer,ZAZ & Raphaël,2,0,2,2025-08-30
Abracadabra,Lady Gaga,209,0,209,2025-08-30
Better Me For You,Max McNown,158,0,158,2025-08-30
Il mio giorno preferito,Eros Ramazzotti,9,0,9,2025-08-30
The Glen,Levi Heron,113,0,113,2025-08-30
Be Mine,KAMRAD,107,0,107,2025-08-30
CEREMONY,Stray Kids,9,0,9,2025-08-30
In the Air Tonight,Sons of Legion,26,0,26,2025-08-30
Monster,Kool Savas & Enny-Mae,2,0,2,2025-08-30
Espresso Macchiato,Tommy Cash,120,0,120,2025-08-30
A Little More,Ed Sheeran,23,0,23,2025-08-30
Anxiety,Doechii,179,0,179,2025-08-30
12 to 12,sombr,20,0,20,2025-08-30
On The Way,Aina The End,49,0,49,2025-08-30
Eternity,Alex Warren,44,0,44,2025-08-30
The Sound of Silence,Disturbed,1831,0,1831,2025-08-30
yellowstone,Matt Hansen,15,0,15,2025-08-30
Shine in the Cruel Night,LiSA,42,0,42,2025-08-30
"Sally, When The Wine Runs Out",ROLE MODEL,10,0,10,2025-08-30
"Lo Que Pasó, Pasó",Alvaro Soler & Marta Santos,2,0,2,2025-08-30
Flieg,Herbert Grönemeyer & Suena,2,0,2,2025-08-30
Ordinary,Alex Warren & Luke Combs,22,0,22,2025-08-30
Show Me Love,WizTheMc & bees & honey,161,0,161,2025-08-30
Body,"Topic, Fireboy DML & Nico Santos",2,0,2,2025-08-30
A Thousand Years,Christina Perri,2497,0,2497,2025-08-30
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",32,0,32,2025-08-30
TAKEDOWN,TWICE,65,0,65,2025-08-30
A Sky Full of Stars,Coldplay,2585,0,2585,2025-08-30
Soleil Bleu,Bleu Soleil & LUIZA,57,0,57,2025-08-30
Nice To Each Other,Olivia Dean,44,0,44,2025-08-30
What I Want,Morgan Wallen & Tate McRae,105,0,105,2025-08-30
Don't Stop Believin',Journey,584,0,584,2025-08-30
I Am Not Okay,Jelly Roll,417,0,417,2025-08-30
Bro Country,HARDY & ERNEST,2,0,2,2025-08-30
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",134,0,134,2025-08-30
Dior,MK,76,0,76,2025-08-30
Star Crossing Night,THE 8,1,0,1,2025-08-30
CHARISMAX,Snow Man,5,0,5,2025-08-30
Vaitimbora,Trinix & Mariana Froes,68,0,68,2025-08-30
I Got U,Katie Price,1,0,1,2025-08-30
XOXZ,IVE,6,0,6,2025-08-30
Charger,TRIANGLE DES BERMUDES,37,0,37,2025-08-30
Thunderstruck,Ac/Dc,825,0,825,2025-08-30
Make Me Feel,oskar med k,28,0,28,2025-08-30
If He Wanted To He Would,Perrie,9,0,9,2025-08-30
in my mind,Wallners,1,0,1,2025-08-30
I Ain't a Bitch,Alaura Lynne,15,0,15,2025-08-30
Good News,Shaboozey,289,0,289,2025-08-30
Beautiful People,David Guetta & Sia,177,0,177,2025-08-30
Lose My Mind,Don Toliver,64,0,64,2025-08-30
Make It Rain,Riley Green,1,0,1,2025-08-30
Baila de Gasolina,Effe Serieus,76,0,76,2025-08-30
A World Where the Sun Never Rises,Aimer,37,0,37,2025-08-30
"Good Luck, Babe",Chappell Roan,421,0,421,2025-08-30
Together,"David Guetta, Hypaton & Bonnie Tyler",48,0,48,2025-08-30
Kashmir,Led Zeppelin,2,0,2,2025-08-30
VERLIEBT IN MICH,FAYAN & Dalton,2,0,2,2025-08-30
Just Keep Watching,Tate McRae,93,0,93,2025-08-30
Secret Garden,BE:FIRST,6,0,6,2025-08-30
Old Phone,Ed Sheeran,119,0,119,2025-08-30
Baila Baila,"Mickie Krause, Lorenz Büffel, Kings of Günter & Immer Hansi",6,0,6,2025-08-30
Gianna,Pietro Basile,121,0,121,2025-08-30
善后,马师傅,5,0,5,2025-08-30
Lose Yourself,Eminem,501,0,501,2025-08-30
Sarà perché ti amo,Ricchi & Poveri,558,0,558,2025-08-30
Against the Kings and Gods,MAN WITH A MISSION,2,0,2,2025-08-30
Espresso,Sabrina Carpenter,470,0,470,2025-08-30
Dein ist mein ganzes Herz,Heinz Rudolf Kunze & Annett Louisan,25,0,25,2025-08-30
Dame Un Grrr,Fantomel & KATE LINN,70,0,70,2025-08-30
Bloodline,Alex Warren & Jelly Roll,81,0,81,2025-08-30
Lovin' You,Richard Ashcroft,3,0,3,2025-08-30
Love Me Not,Ravyn Lenae,94,0,94,2025-08-30
Summer Shadow,Mrs. GREEN APPLE,20,0,20,2025-08-30
Saitei Kaiwai,tuki.,3,0,3,2025-08-30
Breakin' Dishes,Rihanna,5,0,5,2025-08-30
Questa domenica,Olly & Juli,2,0,2,2025-08-30
NUEVAYoL,Bad Bunny,104,0,104,2025-08-30
Blue Jeans,HANA,49,0,49,2025-08-30
no tiene sentido,Beéle,32,0,32,2025-08-30
NOKIA,Drake,197,0,197,2025-08-30
(M)EiNE GESCHiCHTE,Whorensohn,12,0,12,2025-08-30
Super Suki Shuki Rush,"Curren Chan (CV: Yu Sasahara), Still in Love (CV: Saki Miyashita), Fusaichi Pandora (CV: Moe Kahara), Admire Groove (CV: Hina Suzuki), Lucky Lilac (CV: Yuki Nakashima), Loves Only You (CV: Miyu Kubota) & Stay Gold (CV: Satsumi Matsuda)",3,0,3,2025-08-30
Bottle Rockets,Scotty McCreery,66,0,66,2025-08-30
Mr Electric Blue,Benson Boone,25,0,25,2025-08-30
Perfect,Ed Sheeran,2949,0,2949,2025-08-30
Remember My Name,Sons of Legion,51,0,51,2025-08-30
Dancing2,Keli Holiday,15,0,15,2025-08-30
Jumping Machine,LBI,147,0,147,2025-08-30
Tension,Kylie Minogue,50,0,50,2025-08-30
Your Man,Josh Turner,90,0,90,2025-08-30
Hurt People Hurt People,Mudvayne,3,0,3,2025-08-30
Goodbye,Sabrina Carpenter,2,0,2,2025-08-30
Ninety - Two,Paul Kalkbrenner,9,0,9,2025-08-30
Bella Napoli,Roy Bianco & Die Abbrunzati Boys,61,0,61,2025-08-30
zutto love song,VAUNDY,4,0,4,2025-08-30
a me mi piace,Alfa & Manu Chao,70,0,70,2025-08-30
Si Antes Te Hubiera Conocido,KAROL G,434,0,434,2025-08-30
Ex,Irama,2,0,2,2025-08-30
Succession,Nicholas Britell,41,0,41,2025-08-30
back to friends,sombr,39,0,39,2025-08-30
Your New Morning Alarm,Marc Rebillet,96,0,96,2025-08-30
F1,Hans Zimmer,55,0,55,2025-08-30
Lilac,Mrs. Green Apple,477,0,477,2025-08-30
Next Summer,Damiano David,171,0,171,2025-08-30
Shinjitsu,Eikichi Yazawa,6,0,6,2025-08-30
จ่ายด้วยหัวใจ,Milk Pansa & Love Pattranite,2,0,2,2025-08-30
TABOLA BALE,"Silet Open Up, Jacson Seran, Juan Reza & Diva Aurel",21,0,21,2025-08-30
"Mama, I'm Coming Home",Ozzy Osbourne,45,0,45,2025-08-30
Flowers,Miley Cyrus,919,0,919,2025-08-30
Yellow,Coldplay,308,0,308,2025-08-30
Carmine,Ellegarden,18,0,18,2025-08-30
Nice To Meet You,Myles Smith,289,0,289,2025-08-30
All The Way,BigXthaPlug & Bailey Zimmerman,125,0,125,2025-08-30
Moonlight,XXXTENTACION,140,0,140,2025-08-30
Tracing A Dream,Kazunari Ninomiya,4,0,4,2025-08-30
Just In Case,Morgan Wallen,145,0,145,2025-08-30
Summer's Ending Soon,The Midnight,2,0,2,2025-08-30
Viva la Vida,Coldplay,1830,0,1830,2025-08-30
Background,Jin,10,0,10,2025-08-30
BAIBAIFIGHT,CANDY TUNE,21,0,21,2025-08-30
I Had Some Help,Post Malone,460,0,460,2025-08-30
Karnevalsmaus,Druckluft,1,0,1,2025-08-30
My Bad,MAX CHANGMIN,4,0,4,2025-08-30
Holy Water,Marshmello & Jelly Roll,12,0,12,2025-08-30
I'm The Problem,Morgan Wallen,199,0,199,2025-08-30
Haikei Shounenyo,Hump Back,12,0,12,2025-08-30
Somewhere Over Laredo,Lainey Wilson,24,0,24,2025-08-30
What You Want,CORTIS,7,0,7,2025-08-30
Stargazing,Myles Smith,478,0,478,2025-08-30
Parachute,Hayley Williams,1,0,1,2025-08-30
The Devil Is A Democrat,Tom MacDonald,15,0,15,2025-08-30
Wackelkontakt,Oimara,225,0,225,2025-08-30
Plastic Love,Mariya Takeuchi,1,0,1,2025-08-30
Kaiju,sakanaction,132,0,132,2025-08-30
Zweifelturm,Pizzera & Jaus,2,0,2,2025-08-30
Wakamono No Subete,Fujifabric,14,0,14,2025-08-30
Als du gingst,Contec & Lina Maly,99,0,99,2025-08-30
Gabriela,KATSEYE,20,0,20,2025-08-30
Backup Plan,Bailey Zimmerman & Luke Combs,95,0,95,2025-08-30
Wonderful Life '25,Hurts & Purple Disco Machine,43,0,43,2025-08-30
Sorry I'm Here For Someone Else,Benson Boone,178,0,178,2025-08-30
Shake It Off,Taylor Swift,979,0,979,2025-08-30
ROSE,HANA,129,0,129,2025-08-30
Someone You Loved,Lewis Capaldi,1417,0,1417,2025-08-30
Unstoppable,Sia,1829,0,1829,2025-08-30
YUKON,Justin Bieber,26,0,26,2025-08-30
War and the Girl,ZORN,12,0,12,2025-08-30
Blueprint Supreme,SKAI isyourgod & AR,41,0,41,2025-08-30
Tattoo,Loreen,555,0,555,2025-08-30
Hausparty,RIAN,55,0,55,2025-08-30
F****d Up,Nina Chuba & makko,1,0,1,2025-08-30
Spiral,Reini,5,0,5,2025-08-30
Dream,LISA,28,0,28,2025-08-30
Pretty Little Baby,Connie Francis,94,0,94,2025-08-30
Get It Done,Guy Sebastian,22,0,22,2025-08-30
Bitter Sweet Symphony,The Verve,68,0,68,2025-08-30
Mayonaka no Door / Stay with Me,Miki Matsubara,1,0,1,2025-08-30
