song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Ordinary,Alex Warren,152,0,152,2025-07-08
Golden,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",18,0,18,2025-07-08
Azizam,Ed Sheeran,96,0,96,2025-07-08
Sapphire,Ed Sheeran,33,0,33,2025-07-08
Die With A Smile,Lady Gaga & Bruno Mars,327,0,327,2025-07-08
Survive,Lewis Capaldi,12,0,12,2025-07-08
APT.,ROSÉ & Bruno Mars,264,0,264,2025-07-08
Messy,Lola Young,231,0,231,2025-07-08
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",18,0,18,2025-07-08
What It Sounds Like,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",18,0,18,2025-07-08
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",17,0,17,2025-07-08
End of the World,Miley Cyrus,96,0,96,2025-07-08
How It’s Done,"HUNTRX, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",18,0,18,2025-07-08
Pink Pony Club,Chappell Roan,352,0,352,2025-07-08
Paranoid,Black Sabbath,7,0,7,2025-07-08
Lose My Mind,Don Toliver,14,0,14,2025-07-08
Beautiful Things,Benson Boone,537,0,537,2025-07-08
Mystical Magical,Benson Boone,75,0,75,2025-07-08
Abracadabra,Lady Gaga,156,0,156,2025-07-08
A Bar Song,Shaboozey,453,0,453,2025-07-08
"Mama, I'm Coming Home",Ozzy Osbourne,3,0,3,2025-07-08
BIRDS OF A FEATHER,Billie Eilish,418,0,418,2025-07-08
Anxiety,Doechii,126,0,126,2025-07-08
Bad Dreams,Teddy Swims,299,0,299,2025-07-08
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",18,0,18,2025-07-08
F1,Hans Zimmer,10,0,10,2025-07-08
Wonderwall,Oasis,38,0,38,2025-07-08
The Sound of Silence,Disturbed,1778,0,1778,2025-07-08
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",81,0,81,2025-07-08
Someone You Loved,Lewis Capaldi,1370,0,1370,2025-07-08
Lose Control,Teddy Swims,730,0,730,2025-07-08
SING ALONG,D.O.,2,0,2,2025-07-08
Manchild,Sabrina Carpenter,33,0,33,2025-07-08
Blessings,Calvin Harris & Clementine Douglas,61,0,61,2025-07-08
What Did I Miss,Drake,4,0,4,2025-07-08
