song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",21,0,21,2025-08-20
Ordinary,Alex Warren,195,0,195,2025-08-20
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",61,0,61,2025-08-20
Sapphire,Ed Sheeran,76,0,76,2025-08-20
Die With A Smile,Lady Gaga & Bruno Mars,370,0,370,2025-08-20
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",27,0,27,2025-08-20
APT.,ROSÉ & Bruno Mars,307,0,307,2025-08-20
Drum Show,twenty one pilots,2,0,2,2025-08-20
JUMP,BLACKPINK,41,0,41,2025-08-20
Messy,Lola Young,274,0,274,2025-08-20
Azizam,Ed Sheeran,139,0,139,2025-08-20
DAISIES,Justin Bieber,41,0,41,2025-08-20
Pink Pony Club,Chappell Roan,395,0,395,2025-08-20
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",27,0,27,2025-08-20
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",60,0,60,2025-08-20
Your New Morning Alarm,Marc Rebillet,86,0,86,2025-08-20
The Subway,Chappell Roan,20,0,20,2025-08-20
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",61,0,61,2025-08-20
No Broke Boys,Disco Lines & Tinashe,61,0,61,2025-08-20
Beautiful Things,Benson Boone,580,0,580,2025-08-20
Survive,Lewis Capaldi,55,0,55,2025-08-20
Lose Control,Teddy Swims,773,0,773,2025-08-20
BIRDS OF A FEATHER,Billie Eilish,461,0,461,2025-08-20
The Door,Teddy Swims,579,0,579,2025-08-20
A Little More,Ed Sheeran,13,0,13,2025-08-20
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",26,0,26,2025-08-20
Bad Dreams,Teddy Swims,342,0,342,2025-08-20
Abracadabra,Lady Gaga,199,0,199,2025-08-20
