song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
The Fate of Ophelia,Taylor Swift,26,0,26,2025-11-04
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",97,0,97,2025-11-04
Ordinary,Alex Warren,271,0,271,2025-11-04
Opalite,Taylor Swift,12,0,12,2025-11-04
Berghain,"ROSALÍA, Björk & Yves Tumor",8,0,8,2025-11-04
Man I Need,Olivia Dean,81,0,81,2025-11-04
Soda Pop,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",137,0,137,2025-11-04
WHERE IS MY HUSBAND,RAYE,47,0,47,2025-11-04
The Dead Dance,Lady Gaga,63,0,63,2025-11-04
Die With A Smile,Lady Gaga & Bruno Mars,446,0,446,2025-11-04
All I Want for Christmas Is You,Mariah Carey,781,0,781,2025-11-04
Sapphire,Ed Sheeran,152,0,152,2025-11-04
Gone Gone Gone,"David Guetta, Teddy Swims & Tones And I",26,0,26,2025-11-04
Beautiful Things,Benson Boone,656,0,656,2025-11-04
So Easy,Olivia Dean,27,0,27,2025-11-04
What It Sounds Like,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",103,0,103,2025-11-04
Angel,Mariah Carey,7,0,7,2025-11-04
What's Up,4 Non Blondes,101,0,101,2025-11-04
Rubber Band Man,Mumford & Sons & Hozier,12,0,12,2025-11-04
No Broke Boys,Disco Lines & Tinashe,137,0,137,2025-11-04
Livin’ on Borrowed Time,Breaking Rust,18,0,18,2025-11-04
Walk My Walk,Breaking Rust,15,0,15,2025-11-04
Lose Control,Teddy Swims,849,0,849,2025-11-04
Messy,Lola Young,350,0,350,2025-11-04
12 to 12,sombr,86,0,86,2025-11-04
Pink Pony Club,Chappell Roan,471,0,471,2025-11-04
Mystical Magical,Benson Boone,194,0,194,2025-11-04
Takedown,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",102,0,102,2025-11-04
The Door,Teddy Swims,655,0,655,2025-11-04
How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",103,0,103,2025-11-04
APT.,ROSÉ & Bruno Mars,383,0,383,2025-11-04
Talk of the Town,"Fred again.., Sammy Virji & Reggie",1,0,1,2025-11-04
The Sound of Silence,Disturbed,1897,0,1897,2025-11-04
Thunderstruck,Ac/Dc,890,0,890,2025-11-04
Pinocchio,AHOF,1,0,1,2025-11-04
Soleil Bleu,Bleu Soleil & LUIZA,123,0,123,2025-11-04
Always Remember Us This Way,Lady Gaga,2245,0,2245,2025-11-04
Fade Into You,Mazzy Star,42,0,42,2025-11-04
Bad Dreams,Teddy Swims,418,0,418,2025-11-04
DAISIES,Justin Bieber,117,0,117,2025-11-04
Your Idol,"Saja Boys, Andrew Choi, Neckwav, Danny Chung, Kevin Woo, samUIL Lee & KPop Demon Hunters Cast",136,0,136,2025-11-04
Thriller,Michael Jackson,136,0,136,2025-11-04
Free,"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast",137,0,137,2025-11-04
Gabriela,KATSEYE,68,0,68,2025-11-04
Abracadabra,Lady Gaga,275,0,275,2025-11-04
Better Me For You,Max McNown,220,0,220,2025-11-04
undressed,sombr,176,0,176,2025-11-04
TANZNEID,Electric Callboy,5,0,5,2025-11-04
BIRDS OF A FEATHER,Billie Eilish,537,0,537,2025-11-04
Gute Laune,GroßstadtEngel,24,0,24,2025-11-04
Gravity,"Jessica Vosk, Alex Brightman, Sam Haft & Andrew Underberg",12,0,12,2025-11-04
Azizam,Ed Sheeran,215,0,215,2025-11-04
JANE DOE,Kenshi Yonezu & Hikaru Utada,39,0,39,2025-11-04
My Only Angel,Aerosmith & YUNGBLUD,47,0,47,2025-11-04
Paid to Exist,brux XTN,29,0,29,2025-11-04
A Bar Song,Shaboozey,572,0,572,2025-11-04
Choosin' Texas,Ella Langley,19,0,19,2025-11-04
Das schönste Mädchen der Welt,Sarah Connor,5,0,5,2025-11-04
Unstoppable,Sia,1882,0,1882,2025-11-04
Don't Tread On Me,Cain Walker,10,0,10,2025-11-04
IRIS OUT,Kenshi Yonezu,44,0,44,2025-11-04
Left It In The River,Jamie MacDonald,29,0,29,2025-11-04
Broken Time,Tom Smith,1,0,1,2025-11-04
Treat Yourself,New Found Glory,1,0,1,2025-11-04
Creep,Radiohead,224,0,224,2025-11-04
The One,Michael Patrick Kelly,45,0,45,2025-11-04
An meinem Grab,Der Skyper,6,0,6,2025-11-04
Survive,Lewis Capaldi,130,0,130,2025-11-04
JUMP,BLACKPINK,117,0,117,2025-11-04
(Don't Fear) The Reaper,Blue Öyster Cult,3,0,3,2025-11-04
It's Raining,Ziggy in tha House,31,0,31,2025-11-04
The Day My Daddy Died,Michael Patrick Kelly & The Kelly Family,3,0,3,2025-11-04
End of the World,Miley Cyrus,215,0,215,2025-11-04
Sweat,Melanie C,11,0,11,2025-11-04
Manchild,Sabrina Carpenter,152,0,152,2025-11-04
Iris,The Goo Goo Dolls,332,0,332,2025-11-04
Enter Sandman,Metallica,133,0,133,2025-11-04
Shallow,Lady Gaga & Bradley Cooper,2194,0,2194,2025-11-04
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast & David Guetta",97,0,97,2025-11-04
Something In The Heavens,Lewis Capaldi,47,0,47,2025-11-04
Her Nerdeysen,Xaviorthemachine,96,0,96,2025-11-04
Be Mine,KAMRAD,173,0,173,2025-11-04
Wonderwall,Oasis,85,0,85,2025-11-04
F1,Hans Zimmer,97,0,97,2025-11-04
Bohemian Rhapsody,Queen,719,0,719,2025-11-04
In meinem Garten,Reinhard Mey,2,0,2,2025-11-04
Good News,Shaboozey,347,0,347,2025-11-04
back to friends,sombr,99,0,99,2025-11-04
Tokyo Crazy Night,Travis Japan,11,0,11,2025-11-04
Almost,Lewis Capaldi,11,0,11,2025-11-04
KISS,IMP.,2,0,2,2025-11-04
Say I do,Travis Japan,11,0,11,2025-11-04
Only You,MAZZEL,2,0,2,2025-11-04
Viva la Vida,Coldplay,1882,0,1882,2025-11-04
Nice To Each Other,Olivia Dean,110,0,110,2025-11-04
Would You Like One,Travis Japan,13,0,13,2025-11-04
Nice To Meet You,Myles Smith,310,0,310,2025-11-04
Highway to Hell,AC/DC,171,0,171,2025-11-04
The First Time,Damiano David,77,0,77,2025-11-04
On The Way,Aina The End,97,0,97,2025-11-04
Angel on the Tree,Sam Clegg,2,0,2,2025-11-04
Chubina,East Duo,66,0,66,2025-11-04
The Life of a Showgirl,Taylor Swift,11,0,11,2025-11-04
when the party's over,Billie Eilish,405,0,405,2025-11-04
How To Be Human,Cat Burns,2,0,2,2025-11-04
Fanfare,Koji Tamaki,23,0,23,2025-11-04
Niemand,Suzan & Freek,13,0,13,2025-11-04
MAGIC,Ado,5,0,5,2025-11-04
Don't Look Back In Anger,Oasis,79,0,79,2025-11-04
Home,Glockenbach & Tom Walker,42,0,42,2025-11-04
Chariot,Westlife,12,0,12,2025-11-04
Mercenary,Soen,1,0,1,2025-11-04
"Wij zeggen nee, nee, nee, tegen een AZC","JW ""Broken Veteran""",1,0,1,2025-11-04
Chabos wissen wer der Babo ist,Haftbefehl,1,0,1,2025-11-04
NOKIA,Drake,258,0,258,2025-11-04
Camera,Ed Sheeran,53,0,53,2025-11-04
Wunderschön,Unheilig,52,0,52,2025-11-04
Feel Good,Charlotte Cardin,91,0,91,2025-11-04
TAKE ME HIGHER,V6,4,0,4,2025-11-04
Eternity,Alex Warren,108,0,108,2025-11-04
Sarà perché ti amo,Ricchi & Poveri,598,0,598,2025-11-04
Sympathy Magic,Florence + the Machine,9,0,9,2025-11-04
Another Love,Tom Odell,608,0,608,2025-11-04
Run Free,Michael Patrick Kelly,11,0,11,2025-11-04
SPAGHETTI,LE SSERAFIM & j-hope,12,0,12,2025-11-04
FMP,B'z,4,0,4,2025-11-04
Samen,Jan Smit,5,0,5,2025-11-04
I Am Not Okay,Jelly Roll,474,0,474,2025-11-04
Lose My Mind,Don Toliver,109,0,109,2025-11-04
Where Love Lives,Alison Limerick,1,0,1,2025-11-04
Bailando Bachata,Chayanne,104,0,104,2025-11-04
Someone You Loved,Lewis Capaldi,1476,0,1476,2025-11-04
