song_name,artist_name,digital_sales,physical_sales,total_sales,collection_date
Ordinary,Alex Warren,117,0,117,2025-06-03
00:00,BTS,26,0,26,2025-06-03
APT.,ROSÉ & Bruno Mars,229,0,229,2025-06-03
Die With A Smile,Lady Gaga & Bruno Mars,292,0,292,2025-06-03
Anxiety,Doechii,91,0,91,2025-06-03
Messy,Lola Young,196,0,196,2025-06-03
Azizam,Ed Sheeran,61,0,61,2025-06-03
End of the World,Miley Cyrus,61,0,61,2025-06-03
Abracadabra,Lady Gaga,121,0,121,2025-06-03
Pretty Little Baby,Connie Francis,25,0,25,2025-06-03
Bad Dreams,Teddy Swims,264,0,264,2025-06-03
Pink Pony Club,Chappell Roan,317,0,317,2025-06-03
BIRDS OF A FEATHER,Billie Eilish,383,0,383,2025-06-03
Espresso Macchiato,Tommy Cash,32,0,32,2025-06-03
Beautiful Things,Benson Boone,502,0,502,2025-06-03
Easy Lover,Miley Cyrus,5,0,5,2025-06-03
Shake It To The Max,"MOLIY, Silent Addy, Skillibeng & Shenseea",46,0,46,2025-06-03
A Bar Song,Shaboozey,418,0,418,2025-06-03
Lose Control,Teddy Swims,695,0,695,2025-06-03
Mystical Magical,Benson Boone,40,0,40,2025-06-03
Bloodline,Alex Warren,12,0,12,2025-06-03
How Do I Say Goodbye,Dean Lewis,638,0,638,2025-06-03
Beautiful People,David Guetta & Sia,89,0,89,2025-06-03
Blessings,Calvin Harris & Clementine Douglas,26,0,26,2025-06-03
Starburster,Fontaines D.C.,63,0,63,2025-06-03
NOKIA,Drake,109,0,109,2025-06-03
Old Phone,Ed Sheeran,33,0,33,2025-06-03
The Sound of Silence,Disturbed,1743,0,1743,2025-06-03
cliché,mgk,12,0,12,2025-06-03
Sorry I'm Here For Someone Else,Benson Boone,96,0,96,2025-06-03
Her Nerdeysen,Ati242,36,0,36,2025-06-03
The Door,Teddy Swims,501,0,501,2025-06-03
The Power Of Love,Blasterjaxx,5,0,5,2025-06-03
Just Keep Watching,Tate McRae,5,0,5,2025-06-03
Zombie,YUNGBLUD,5,0,5,2025-06-03
The Glen,Levi Heron,25,0,25,2025-06-03
Her Nerdeysen,DJ Unzensiert,28,0,28,2025-06-03
I Got A New One,Elizabeth Nichols,6,0,6,2025-06-03
THUNDER,SEVENTEEN,9,0,9,2025-06-03
Always Remember Us This Way,Lady Gaga,2091,0,2091,2025-06-03
Viva la Vida,Coldplay,1757,0,1757,2025-06-03
Good News,Shaboozey,201,0,201,2025-06-03
luther,Kendrick Lamar & SZA,177,0,177,2025-06-03
undressed,sombr,22,0,22,2025-06-03
Si Antes Te Hubiera Conocido,KAROL G,348,0,348,2025-06-03
YOUR WAY'S BETTER,Forrest Frank,55,0,55,2025-06-03
There She Goes,"CYRIL, MOONLGHT & The La's",19,0,19,2025-06-03
Stumblin' In,Cyril,562,0,562,2025-06-03
Come Undone,Duran Duran,2,0,2,2025-06-03
I'm The Problem,Morgan Wallen,124,0,124,2025-06-03
Up From the Bottom,LINKIN PARK,68,0,68,2025-06-03
Flowers,Miley Cyrus,861,0,861,2025-06-03
Show Me Love,WizTheMc & bees & honey,73,0,73,2025-06-03
blue,yung kai,176,0,176,2025-06-03
Thunderstruck,Ac/Dc,737,0,737,2025-06-03
Carry You Home,Alex Warren,314,0,314,2025-06-03
Stargazing,Myles Smith,390,0,390,2025-06-03
Nice To Meet You,Myles Smith,208,0,208,2025-06-03
Liar,Jelly Roll,257,0,257,2025-06-03
Have You Ever Seen The Rain,"Outliers, John Fogerty & Creedence Clearwater Revival",75,0,75,2025-06-03
Jumping Machine,LBI,77,0,77,2025-06-03
Bara Bada Bastu,KAJ,36,0,36,2025-06-03
What I Want,Morgan Wallen & Tate McRae,18,0,18,2025-06-03
Momma Song,Benson Boone,12,0,12,2025-06-03
The Emptiness Machine,LINKIN PARK,267,0,267,2025-06-03
That’s So True,Gracie Abrams,223,0,223,2025-06-03
I Had Some Help,Post Malone,389,0,389,2025-06-03
Don’t Say You Love Me,Jin,18,0,18,2025-06-03
Next Summer,Damiano David,96,0,96,2025-06-03
Espresso,Sabrina Carpenter,416,0,416,2025-06-03
The Beast in Me,Johnny Cash,2,0,2,2025-06-03
Blue Strips,Jessie Murph,46,0,46,2025-06-03
Hand That Feeds,Halsey & Amy Lee,4,0,4,2025-06-03
Homesick For Heaven,Phil Wickham,5,0,5,2025-06-03
All The Way,BigXthaPlug & Bailey Zimmerman,61,0,61,2025-06-03
Spike Island,Pulp,18,0,18,2025-06-03
Just In Case,Morgan Wallen,75,0,75,2025-06-03
Freed from Desire,Gala,152,0,152,2025-06-03
Messy,ROSÉ,26,0,26,2025-06-03
The Days,CHRYSTAL & NOTION,141,0,141,2025-06-03
Hard Fought Hallelujah,Brandon Lake & Jelly Roll,78,0,78,2025-06-03
WE PRAY,"Coldplay, Little Simz, Burna Boy, Elyanna & TINI",280,0,280,2025-06-03
Chankapana,NEWS,2,0,2,2025-06-03
Believer,Imagine Dragons,2344,0,2344,2025-06-03
Nothing's Gonna Stop Us Now,Starship,78,0,78,2025-06-03
Ferris wheel,B.I,3,0,3,2025-06-03
Not Like Us,Kendrick Lamar,358,0,358,2025-06-03
クスシキ,Mrs. GREEN APPLE,3,0,3,2025-06-03
SAD SONG - From THE FIRST TAKE,Chanmina,2,0,2,2025-06-03
Sports car,Tate McRae,117,0,117,2025-06-03
Sweet Child o' Mine,Guns N' Roses,152,0,152,2025-06-03
Vaitimbora,Trinix Remix,19,0,19,2025-06-03
Backup Plan,Bailey Zimmerman & Luke Combs,32,0,32,2025-06-03
Where Our Blue Is,Tatsuya Kitani,139,0,139,2025-06-03
ギラギラサマー,Naniwa Danshi,3,0,3,2025-06-03
Wackelkontakt,Oimara,138,0,138,2025-06-03
Ace Trumpets,"Clipse, Pusha T & No Malice",3,0,3,2025-06-03
Watch me,YOASOBI,17,0,17,2025-06-03
I Am Not Okay,Jelly Roll,349,0,349,2025-06-03
One Thing,Lola Young,17,0,17,2025-06-03
Hawaiian Roller Coaster Ride,Kamehameha Schools Children's Chorus & Mark Keali'i Ho'omalu,12,0,12,2025-06-03
Blue Amber,back number,36,0,36,2025-06-03
Somebody That I Used to Know,Gotye,1665,0,1665,2025-06-03
Wenn das Liebe ist,Nina Chuba,5,0,5,2025-06-03
Hawaiian Roller Coaster Ride,"Iam Tongi, Kamehameha Schools Children's Chorus & Disney",10,0,10,2025-06-03
Lose Yourself,Eminem,461,0,461,2025-06-03
夢中,BE:FIRST,4,0,4,2025-06-03
Als du gingst,Contec & Lina Maly,29,0,29,2025-06-03
Plazma,Kenshi Yonezu,115,0,115,2025-06-03
La Plena,"W Sound, Beéle & Ovy On the Drums",37,0,37,2025-06-03
愛♡スクリ～ム,AiScReam,5,0,5,2025-06-03
Bokuno Koto,Mrs. Green Apple,129,0,129,2025-06-03
Another Love,Tom Odell,593,0,593,2025-06-03
FICKA,Sarah Connor,52,0,52,2025-06-03
Better Me For You,Max McNown,103,0,103,2025-06-03
Location,ZERB & Wiz Khalifa,100,0,100,2025-06-03
Wonderful Life '25,Hurts & Purple Disco Machine,11,0,11,2025-06-03
I'll Be Back,The BossHoss,3,0,3,2025-06-03
Amen,Shaboozey & Jelly Roll,39,0,39,2025-06-03
Love Me Not,Ravyn Lenae,10,0,10,2025-06-03
Have You Ever Seen the Rain,Creedence Clearwater Revival,133,0,133,2025-06-03
Enter Sandman,Metallica,100,0,100,2025-06-03
Still Into You,CYRIL & maryjo,188,0,188,2025-06-03
How do I know,VAUNDY,19,0,19,2025-06-03
Lilac,Mrs. Green Apple,399,0,399,2025-06-03
GRIT,BE:FIRST,9,0,9,2025-06-03
With You,Dean Lewis,120,0,120,2025-06-03
Demons,Imagine Dragons,752,0,752,2025-06-03
Kaiga,Motoki Ohmori,6,0,6,2025-06-03
Unstoppable,Sia,1752,0,1752,2025-06-03
Kaiju,sakanaction,80,0,80,2025-06-03
Worst Way,Riley Green,83,0,83,2025-06-03
High As You,Mark Tuan,5,0,5,2025-06-03
Sympathy for the Devil,The Rolling Stones,6,0,6,2025-06-03
Money Loves Me,Alchemist Harmony,3,0,3,2025-06-03
A Thousand Years,Christina Perri,2415,0,2415,2025-06-03
Everybody Wants to Rule the World,Tears for Fears,153,0,153,2025-06-03
Bokuno Koto,Superfly,1,0,1,2025-06-03
别让爱凋落,Wang Heye & 喻言,3,0,3,2025-06-03
Unwritten,Natasha Bedingfield,293,0,293,2025-06-03
ROSE,HANA,55,0,55,2025-06-03
WILDFLOWER,Billie Eilish,133,0,133,2025-06-03
Time Will Heal,Volbeat,9,0,9,2025-06-03
ჩუბინა,East Duo,110,0,110,2025-06-03
Can the Can,Suzi Quatro,1,0,1,2025-06-03
Remember When,Alan Jackson,5,0,5,2025-06-03
Fight Another Day,James Morrison,2,0,2,2025-06-03
What An Awesome God,Phil Wickham,34,0,34,2025-06-03
Cornfield Chase,Hans Zimmer,15,0,15,2025-06-03
Too Sweet,Hozier,436,0,436,2025-06-03
Don't Stop The Car,Nickless,24,0,24,2025-06-03
Lichtje Branden,Suzan & Freek,7,0,7,2025-06-03
I hate this love song,Chanmina,5,0,5,2025-06-03
Penso A Te,Pupo,26,0,26,2025-06-03
SERENATA,Serena Brancale & Alessandra Amoroso,3,0,3,2025-06-03
Iris,The Goo Goo Dolls,212,0,212,2025-06-03
tv off,Kendrick Lamar,167,0,167,2025-06-03
Someone You Loved,Lewis Capaldi,1352,0,1352,2025-06-03
The First Time,Damiano David,2,0,2,2025-06-03
Somewhere Over Laredo,Lainey Wilson,12,0,12,2025-06-03
Make It to the Dance,koizumi kyoko & Kiichi Nakai,2,0,2,2025-06-03
烽月,Liu Yu Ning,5,0,5,2025-06-03
Lumière,Lorien Testard & Alice Duport-Percier,6,0,6,2025-06-03
Vidrado Em Você,DJ Guuga & MC Livinho,46,0,46,2025-06-03
WHY,Jon Bellion & Luke Combs,11,0,11,2025-06-03
Gianna,Die Draufgänger & Pietro Basile,15,0,15,2025-06-03
tau mich auf,Zartmann,101,0,101,2025-06-03
You'll Be in My Heart,NIKI,40,0,40,2025-06-03
mimosa,Ayumi Hamasaki,36,0,36,2025-06-03
The Glen,Beluga Lagoon,44,0,44,2025-06-03
Happy Birthday,Stevie Wonder,455,0,455,2025-06-03
Be Mine,KAMRAD,19,0,19,2025-06-03
I don't care,Hoshimachi Suisei,49,0,49,2025-06-03
like JENNIE,JENNIE,89,0,89,2025-06-03
Sarà perché ti amo,Ricchi & Poveri,479,0,479,2025-06-03
Morgen,Apache 207,12,0,12,2025-06-03
How Bad Do U Want Me,Lady Gaga,28,0,28,2025-06-03
怪獣の花唄,Vaundy,101,0,101,2025-06-03
Milagros,KAROL G,25,0,25,2025-06-03
Living My Best Life,Jessie J,6,0,6,2025-06-03
Love Somebody,Morgan Wallen,228,0,228,2025-06-03
Head Above Water,"twocolors, Safri Duo & Chris de Sarandy",4,0,4,2025-06-03
DOMINANCE,INI,2,0,2,2025-06-03
DtMF,Bad Bunny,116,0,116,2025-06-03
In the Air Tonight,Phil Collins,114,0,114,2025-06-03
TWILIGHT,King Gnu,39,0,39,2025-06-03
Born With a Broken Heart,Damiano David,218,0,218,2025-06-03
Muththa Mazhai,"Dhee, Siva Ananth & A.R. Rahman",1,0,1,2025-06-03
